ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,house_type2,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Espectacular piso con unas vistas privilegiadas de todo Bilbao, el mejor piso de todo Miribilla!, , Zona privilegiada que te ofrece todo tipo de servicios y transportes, áreas de esparcimiento cómo el Bilbao Arena y el Centro Comercial., , Vivienda distribuida en hall de entrada,  4 habitaciones con armarios empotrados, gran salón comedor con impresionante mirador, cocina completamente equipada e independiente con electrodomésticos de alta gama y 3 baños completos (uno de ellos incorporado en dormitorio principal)., , En perfecto estado,  para entrar a vivir, con suelo de tarima de elondo, ventanas de aluminio climalit y puertas de sapelly. Dispone de calefacción individual de Gas Natural., , Disfrutarás de muchísima luz por su orientación y sus grandes ventanales., , En cuanto al edificio te contaré que se trata de una construcción semi-nueva (año 2005) de hormigón. Dispone de 2 ascensores a cota cero y 2 portales., , Parcela de garaje con acceso directo y trastero, incluidos en el precio., , Si quieres visitarlo, no dudes en ponerte en contacto con nosotros ó visitar nuestra página web:, ,.",Anuncio actualizado el 8 de marzo,0,0,3,1,0,segunda mano/buen estado,2005,,planta 9ª exterior,plaza de garaje incluida en el precio,0,,calefacción individual: gas natural,83452707,Ático,,,1,Bilbao,Distrito Ibaiondo," Calle Espinosa Orive Doktorearen, 7 , Barrio Miribilla , Distrito Ibaiondo , Bilbao , Gran Bilbao, Vizcaya ",Barrio Miribilla,"Calle Espinosa Orive Doktorearen, 7","Gran Bilbao, Vizcaya",156,125,2019-03-25,sur,485000,1,4,1,0,0,
"NUEVO! A ESTRENAR! Impresionante casa rústica totalmente reformada con todo lujo de detalle. Ubicada en muy buena zona cerca de todos los servicios y comunicaciones. Dos cómodas plantas distribuidas de la siguiente forma: Planta baja: Garaje cerrado, cocina completamente equipada a estrena, un aseo, gran salón comedor y una espectacular terraza para disfrutar del aire libre. Además dispone de una estructura anexa reformada válida para txoko, taller, almacén. Primera Planta: 3 habitaciones y dos baños completos (suit principal con baño privado y terraza). Todo ello en excelente estado para entrar a vivir. Infórmate aquí!.",Anuncio actualizado el 8 de marzo,0,0,2,0,0,,,no indicado,,plaza de garaje incluida en el precio,0,,,35860881, Casa o chalet,casa o chalet,,,Gallarta,," , Gallarta , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",105,,2019-03-25,,290000,0,3,0,0,0,
"Vivienda de 3 habitaciones, sala, cocina y baño. Propiedad muy luminosa y con buena orientación. La propiedad esta para reformar y es una gran oportunidad para poder reformarla al gusto, perfecto para invertir. A solo un minuto de la parada del metro de Barakaldo, salida Elcano. No pierdas la oportunidad de visitarlo.",Anuncio actualizado el 11 de marzo,0,0,1,0,0,segunda mano/para reformar,1956,en trámite,planta 6ª interior,,0,,no dispone de calefacción,84613403,Piso,,,0,Barakaldo,Distrito Centro," elcano , Distrito Centro , Barakaldo , Gran Bilbao, Vizcaya ",elcano,,"Gran Bilbao, Vizcaya",90,85,2019-03-25,"sur, este",125000,0,3,0,0,0,
"Bonito duplex de 130 m2 aprox. , en el centro de Gordexola., Edificio completamente reformado con ascensor y videoportero. La finca cuenta además con acceso rodado, parking y piscina comunitaria, dispone también de una parcela de garaje en el edificio contiguo., La vivienda se distribuye en hall, cocina americana con isla totalmente equipada, 3 baños, amplio salon comedor y tres habitaciones, la principal con armarios empotrados y baño y un espacio abuhardillado encima, valido como trastero., Muy luminoso, totalmente exterior, con bonitos suelos de baldosa, puertas lacadas en blanco, ventanas Climalit, aire acondicionado, calefacción de suelo radiante por Geotermia., Excelente situación a 20 minutos de Bilbao, cercano a servicios, parques, colegios, parada de autobús, piscinas municipales.. .,Imprescindible ver.",Anuncio actualizado el 14 de marzo,0,0,3,0,0,segunda mano/buen estado,2017,no indicado,planta 1ª,plaza de garaje incluida en el precio,1,,,84600318,Piso,,,1,Gordexola,," , Gordexola , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",130,,2019-03-25,,420000,0,3,0,1,0,
"Vivienda completamente reformada, A ESTRENAR, en la zona de Santa Teresa, a 3 minutos de la boca del Metro de Bagatza., , Está distribuida en 3 buenas habitaciones (la principal con armario empotrado), un amplio salón comedor, cocina muy espaciosa y dos baños completos (uno de ellos dentro de la habitación principal)., , Las ventanas de toda la casa son de PVC Climalit oscilobatientes, paredes lisas recién pintadas, suelo nuevo, puertas lacadas en blanco y CALEFACCIÓN DE GAS NATURAL INDIVIDUAL., , El edificio cuenta con ASCENSOR A COTA 0., , Es una vivienda muy luminosa, pues tiene buena altura y buena orientación., ,Tienes la opción de elegir los muebles y los electrodomésticos para que te entreguen la casa con la cocina montada. ¡ Pregúntanos!",Anuncio actualizado el 14 de marzo,0,0,2,1,0,segunda mano/buen estado,1971,no indicado,planta 6ª exterior,,0,,,84638358,Piso,,,1,Barakaldo,Distrito Bagatza - S. Vicente," , Distrito Bagatza - S. Vicente , Barakaldo , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",85,75,2019-03-25,"norte, sur",220000,1,3,0,0,0,
"Situado en una zona residencial cerca del metro de Aiboa tenemos esta vivienda,  aproximadamente 120m2., , Dispone de un  halll , 3 habitaciones con armarios empotrados y 2 baños completos. La vivienda  es totalmente exterior a dos fachadas que dan a  espacios muy luminosos y soleados. La  orientación Sur Oeste con preciosas y agradables vistas a un jardín.  , ,  Incluye en el precio dos plazas de garaje y trastero en el mismo edificio comunicado con ascensor., , En muy buen estado y para entrar a vivir., , Si quieres ver este piso llámanos 94 480 29 97, ,.",Anuncio actualizado el 13 de marzo,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,84643497,Piso,,,0,Getxo,Distrito Algorta," , Barrio Alango , Distrito Algorta , Getxo , Gran Bilbao, Vizcaya ",Barrio Alango,,"Gran Bilbao, Vizcaya",125,120,2019-03-25,"sur, oeste",450000,0,3,1,0,1,
"Se vende este apartamento de 50m2,   totalmente exterior. Consta de cocina, salón,  dos habitaciones y un baño., , Se ha realizado una reforma integral, las ventanas son de PVC y se ha  instalado una   caldera de gas para calefacción y agua caliente , . Dispone de trastero de 8m2, ,  Está ubicado en una calle particular con posibilidad de aparcar dentro., , Se encuentra en la zona centro de Algorta y muy cerca de la playa., , Si desea ver alguna vivienda de las mismas características, nos puede visitar en www.  Inmohaydee . com, ,  , ,.",Anuncio actualizado el 20 de marzo,0,0,1,1,0,segunda mano/para reformar,,en trámite,planta 3ª exterior,,0,,calefacción individual,84653145,Piso,,,0,Getxo,Distrito Algorta," , Barrio Polígono Rojo-Aldapa , Distrito Algorta , Getxo , Gran Bilbao, Vizcaya ",Barrio Polígono Rojo-Aldapa,,"Gran Bilbao, Vizcaya",55,50,2019-03-25,"norte, este",216000,0,2,0,0,0,
"Estupenda vivienda cercana al centro de Bilbao, consta de cocina, salón comedor, 2 habitaciones amplias y un baño además de una bonita galería, fácil acceso a la autovía, zona de aparcamiento junto a la vivienda, edificio singular.",Anuncio actualizado el 20 de marzo,0,1,1,0,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,calefacción individual: gas natural,84632461,Piso,,,0,Bilbao,Distrito Rekalde," Grupo Torreurizar Etxetaldea, 2 Torreurizarpiso , Barrio Irala , Distrito Rekalde , Bilbao , Gran Bilbao, Vizcaya ",Barrio Irala,"Grupo Torreurizar Etxetaldea, 2 Torreurizarpiso","Gran Bilbao, Vizcaya",95,82,2019-03-25,sur,165000,0,2,1,0,0,
,Anuncio actualizado el 4 de marzo,0,0,4,1,0,segunda mano/buen estado,,no indicado,3 plantas,,1,,,33792567, Casa o chalet independiente,casa o chalet independiente,,,Getxo,Distrito Sta. María de Getxo," galea errepidea , Distrito Sta. María de Getxo , Getxo , Gran Bilbao, Vizcaya ",galea errepidea,,"Gran Bilbao, Vizcaya",1400,,2019-03-25,"sur, este",1530000,0,6,1,1,0,
"Estupendo piso en el Centro de Las Arenas.,Junto a zona de comercio y Zugazarte.,A dos minutos del metro y 5 minutos de la playa.,Vivienda en planta segunda. Totalmente exterior, mucha luz y buena orientación.,La vivienda está impecable, con una reciente obra integral.,Se distribuye de la siguiente forma: hall entrada, amplio salón- comedor en dos estancias con grandes ventanales, aseo de invitados con luz natural, cocina-comedor perfectamente equipada, tres dormitorios amplios con armarios empotrados y dos baño completo. La habitación principal posee un amplio vestidor y uno de los baños incorporado. ,Solarium comunitario en el Edificio.,Garaje directo y trastero,El piso esta reformado al detalle con materiales de primera calidad.,Precio: 575.000 euros Mas información y visitas 696.94. 60.52.",Anuncio actualizado el 1 de febrero,0,0,2,0,0,,,no indicado,planta 2ª,plaza de garaje incluida en el precio,0,,,38133315,Piso,,,1,Getxo,Distrito Las Arenas," Calle particular de club , Barrio Las Arenas Centro , Distrito Las Arenas , Getxo , Gran Bilbao, Vizcaya ",Barrio Las Arenas Centro,Calle particular de club,"Gran Bilbao, Vizcaya",120,,2019-03-25,,575000,0,3,0,0,0,
