poblacion,source,valor
Total Nacional,Empresas,3.337.646
02 Albacete,Empresas,26.743
03 Alicante/Alacant,Empresas,138.964
04 Almería,Empresas,42.931
01 Araba/Álava,Empresas,19.147
33 Asturias,Empresas,68.688
05 Ávila,Empresas,10.170
06 Badajoz,Empresas,41.490
"07 Balears, Illes",Empresas,96.638
08 Barcelona,Empresas,468.777
48 Bizkaia,Empresas,75.628
09 Burgos,Empresas,26.031
10 Cáceres,Empresas,25.389
11 Cádiz,Empresas,60.690
39 Cantabria,Empresas,38.522
12 Castellón/Castelló,Empresas,39.799
13 Ciudad Real,Empresas,30.588
14 Córdoba,Empresas,47.209
"15 Coruña, A",Empresas,83.313
16 Cuenca,Empresas,13.655
20 Gipuzkoa,Empresas,49.582
17 Girona,Empresas,62.984
18 Granada,Empresas,59.115
19 Guadalajara,Empresas,13.368
21 Huelva,Empresas,24.668
22 Huesca,Empresas,16.503
23 Jaén,Empresas,34.030
24 León,Empresas,31.276
25 Lleida,Empresas,33.684
27 Lugo,Empresas,24.760
28 Madrid,Empresas,538.917
29 Málaga,Empresas,123.109
30 Murcia,Empresas,95.544
31 Navarra,Empresas,44.289
32 Ourense,Empresas,23.291
34 Palencia,Empresas,10.024
"35 Palmas, Las",Empresas,75.753
36 Pontevedra,Empresas,69.437
"26 Rioja, La",Empresas,23.197
37 Salamanca,Empresas,22.373
38 Santa Cruz de Tenerife,Empresas,70.373
40 Segovia,Empresas,10.793
41 Sevilla,Empresas,117.385
42 Soria,Empresas,5.689
43 Tarragona,Empresas,52.921
44 Teruel,Empresas,9.345
45 Toledo,Empresas,43.289
46 Valencia/València,Empresas,177.717
47 Valladolid,Empresas,33.998
49 Zamora,Empresas,11.632
50 Zaragoza,Empresas,65.645
51 Ceuta,Empresas,3.916
52 Melilla,Empresas,4.667
Total Nacional,Poblacion,46.722.980
02 Albacete,Poblacion,388.786
03 Alicante/Alacant,Poblacion,1.838.819
04 Almería,Poblacion,709.340
01 Araba/Álava,Poblacion,328.868
33 Asturias,Poblacion,1.028.244
05 Ávila,Poblacion,158.498
06 Badajoz,Poblacion,676.376
"07 Balears, Illes",Poblacion,1.128.908
08 Barcelona,Poblacion,5.609.350
48 Bizkaia,Poblacion,1.149.628
09 Burgos,Poblacion,357.070
10 Cáceres,Poblacion,396.487
11 Cádiz,Poblacion,1.238.714
39 Cantabria,Poblacion,580.229
12 Castellón/Castelló,Poblacion,576.898
13 Ciudad Real,Poblacion,499.100
14 Córdoba,Poblacion,785.240
"15 Coruña, A",Poblacion,1.119.351
16 Cuenca,Poblacion,197.222
20 Gipuzkoa,Poblacion,720.592
17 Girona,Poblacion,761.947
18 Granada,Poblacion,912.075
19 Guadalajara,Poblacion,254.308
21 Huelva,Poblacion,519.932
22 Huesca,Poblacion,219.345
23 Jaén,Poblacion,638.099
24 León,Poblacion,463.746
25 Lleida,Poblacion,432.866
27 Lugo,Poblacion,331.327
28 Madrid,Poblacion,6.578.079
29 Málaga,Poblacion,1.641.121
30 Murcia,Poblacion,1.478.509
31 Navarra,Poblacion,647.554
32 Ourense,Poblacion,309.293
34 Palencia,Poblacion,162.035
"35 Palmas, Las",Poblacion,1.109.175
36 Pontevedra,Poblacion,941.772
"26 Rioja, La",Poblacion,315.675
37 Salamanca,Poblacion,331.473
38 Santa Cruz de Tenerife,Poblacion,1.018.510
40 Segovia,Poblacion,153.342
41 Sevilla,Poblacion,1.939.887
42 Soria,Poblacion,88.600
43 Tarragona,Poblacion,795.902
44 Teruel,Poblacion,134.572
45 Toledo,Poblacion,687.391
46 Valencia/València,Poblacion,2.547.986
47 Valladolid,Poblacion,519.851
49 Zamora,Poblacion,174.549
50 Zaragoza,Poblacion,954.811
51 Ceuta,Poblacion,85.144
52 Melilla,Poblacion,86.384
