link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/a-coruna/xallas/area-de-xallas/,41,2019-03-28,a coruna
http://idealista.com/venta-viviendas/naron-a-coruna/,566,2019-03-28,a coruna
http://idealista.com/venta-viviendas/ferrol-a-coruna/,1201,2019-03-28,a coruna
http://idealista.com/venta-viviendas/valdovino-a-coruna/,117,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/area-de-ferrol/area-de-fene-san-sadurnino/,324,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/area-de-ferrol/area-de-cedeira/,197,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/area-de-ferrol/area-de-ares-mugardos/,391,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/terra-de-soneira/area-de-terra-de-soneira/,66,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/terra-de-melide/area-de-terra-de-melide/,66,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/ortegal/area-de-ortegal/,260,2019-03-28,a coruna
http://idealista.com/venta-viviendas/val-do-dubra-a-coruna/,16,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/santiago/brion-rois/,168,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/santiago/boqueixon-vedra/,97,2019-03-28,a coruna
http://idealista.com/venta-viviendas/teo-a-coruna/,397,2019-03-28,a coruna
http://idealista.com/venta-viviendas/santiago-de-compostela-a-coruna/,1144,2019-03-28,a coruna
http://idealista.com/venta-viviendas/ames-a-coruna/,578,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/ordes/area-de-ordes/,193,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/o-sar/area-de-o-sar/,98,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/noia/,308,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/muros/area-de-muros/,120,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/mino-betanzos/,1071,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/fisterra/area-de-fisterra/,301,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/barbanza/,927,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/arzua/area-de-arzua/,123,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/a-barcala/area-de-a-barcala/,87,2019-03-28,a coruna
http://idealista.com/venta-viviendas/sada-a-coruna/,570,2019-03-28,a coruna
http://idealista.com/venta-viviendas/culleredo-a-coruna/,482,2019-03-28,a coruna
http://idealista.com/venta-viviendas/carral-a-coruna/,97,2019-03-28,a coruna
http://idealista.com/venta-viviendas/cambre-a-coruna/,313,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/area-de-a-coruna/bergondo/,235,2019-03-28,a coruna
http://idealista.com/venta-viviendas/arteixo-a-coruna/,468,2019-03-28,a coruna
http://idealista.com/venta-viviendas/oleiros-a-coruna/,843,2019-03-28,a coruna
http://idealista.com/venta-viviendas/abegondo-a-coruna/,96,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/viono/,52,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/someso-matogrande/,275,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/sagrada-familia/,135,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/riazor-los-rosales/,188,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/os-mallos/,161,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/monte-alto-zalaeta-atocha/,412,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/mesoiro/,106,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/los-castros-castrillon-eiris/,523,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/ensanche-juan-florez/,580,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/elvina-a-zapateira/,121,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/cuatro-caminos-plaza-de-la-cubela/,289,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/ciudad-vieja-centro/,117,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/agra-del-orzan-ventorrillo/,423,2019-03-28,a coruna
http://idealista.com/venta-viviendas/burgos/trevino/area-de-trevino/,181,2019-03-28,burgos
http://idealista.com/venta-viviendas/alava/zuya/area-de-zuya/,267,2019-03-28,alava
http://idealista.com/venta-viviendas/alava/salvatierra/area-de-salvatierra/,239,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/zona-rural-suroeste/,29,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/zona-rural-noroeste/,42,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/zona-rural-este/,64,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/zaramaga/,126,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/zabalgana-ariznabarra/,207,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/txagorritxu-el-pilar/,132,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/santiago-el-anglo/,111,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/sansomendi-ali/,85,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/san-martin/,34,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/salburua/,144,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/lovaina-aranzabal/,37,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/lakua-arriaga/,99,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/lakua/,214,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/judimendi-stalucia/,107,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/coronacion/,125,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/centro/,206,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/casco-viejo/,209,2019-03-28,alava
