"ambitos territoriales";"tipo de renta";"sexo";"2016"
"C.A. de Euskadi";"Renta total";"Total";20443
"C.A. de Euskadi";"Renta del trabajo";"Total";12182
"C.A. de Euskadi";"Renta capital mobiliario";"Total";1236
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";425
"C.A. de Euskadi";"Renta de actividades";"Total";963
"C.A. de Euskadi";"Transferencias";"Total";5637
"C.A. de Euskadi";"Renta disponible";"Total";17149
"Araba/Álava";"Renta total";"Total";19889
"Araba/Álava";"Renta del trabajo";"Total";12204
"Araba/Álava";"Renta capital mobiliario";"Total";985
"Araba/Álava";"Renta capital inmobiliario";"Total";396
"Araba/Álava";"Renta de actividades";"Total";912
"Araba/Álava";"Transferencias";"Total";5392
"Araba/Álava";"Renta disponible";"Total";16694
"Bizkaia";"Renta total";"Total";19818
"Bizkaia";"Renta del trabajo";"Total";11956
"Bizkaia";"Renta capital mobiliario";"Total";1144
"Bizkaia";"Renta capital inmobiliario";"Total";384
"Bizkaia";"Renta de actividades";"Total";947
"Bizkaia";"Transferencias";"Total";5387
"Bizkaia";"Renta disponible";"Total";16565
"Gipuzkoa";"Renta total";"Total";21714
"Gipuzkoa";"Renta del trabajo";"Total";12541
"Gipuzkoa";"Renta capital mobiliario";"Total";1501
"Gipuzkoa";"Renta capital inmobiliario";"Total";505
"Gipuzkoa";"Renta de actividades";"Total";1011
"Gipuzkoa";"Transferencias";"Total";6157
"Gipuzkoa";"Renta disponible";"Total";18306
"Arabako Ibarrak / Valles Alaveses";"Renta total";"Total";18519
"Arabako Ibarrak / Valles Alaveses";"Renta del trabajo";"Total";11084
"Arabako Ibarrak / Valles Alaveses";"Renta capital mobiliario";"Total";785
"Arabako Ibarrak / Valles Alaveses";"Renta capital inmobiliario";"Total";363
"Arabako Ibarrak / Valles Alaveses";"Renta de actividades";"Total";1571
"Arabako Ibarrak / Valles Alaveses";"Transferencias";"Total";4717
"Arabako Ibarrak / Valles Alaveses";"Renta disponible";"Total";15675
"Arabako Lautada / Llanada Alavesa";"Renta total";"Total";20113
"Arabako Lautada / Llanada Alavesa";"Renta del trabajo";"Total";12471
"Arabako Lautada / Llanada Alavesa";"Renta capital mobiliario";"Total";1011
"Arabako Lautada / Llanada Alavesa";"Renta capital inmobiliario";"Total";413
"Arabako Lautada / Llanada Alavesa";"Renta de actividades";"Total";782
"Arabako Lautada / Llanada Alavesa";"Transferencias";"Total";5436
"Arabako Lautada / Llanada Alavesa";"Renta disponible";"Total";16854
"Arabako Mendialdea / Montaña Alavesa";"Renta total";"Total";18622
"Arabako Mendialdea / Montaña Alavesa";"Renta del trabajo";"Total";10172
"Arabako Mendialdea / Montaña Alavesa";"Renta capital mobiliario";"Total";743
"Arabako Mendialdea / Montaña Alavesa";"Renta capital inmobiliario";"Total";353
"Arabako Mendialdea / Montaña Alavesa";"Renta de actividades";"Total";1853
"Arabako Mendialdea / Montaña Alavesa";"Transferencias";"Total";5501
"Arabako Mendialdea / Montaña Alavesa";"Renta disponible";"Total";15905
