ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Precio chalet individual en la localidad de Abornikano a 3 kms de Izarra donde podemos tener todos los servivios. Situado en un precioso entorno. La vivienda dispone en planta baja de salon con chimenea, cocina equipada y dormitorio y baño. Desde la misma planta accedemos a un garaje cerrado. La primera planta se distribuye en tres dormitiros y baño. La vivienda dispone de porche, leñera y se encuentra preparada para empezar a vivir.",Anuncio actualizado el 27 de marzo,0,0,2,0,0,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,1,,,81717634, Casa o chalet independiente,,,Urcabustaiz,La iglesia," La iglesia , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",1000,172,2019-03-29,"norte, sur, este, oeste",310000,0,4,0,0,1,
"Atico de 80m2, para entrar a vivir, con salón amueblado y velux en el techo, 3 dormitorios (uno de ellos amueblado y con velux en el techo), 2 baños y cocina equipada. - Velux de 1,401, 50, con apertura de ventana y persiana con mando a distancia. -cuenta con preinstalación para chimenea de leña. -caldera individual de gas.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,2006,no indicado,planta 2ª exterior,,0,,,29588074,Ático,,1,Legutiano,"la Union Plazatxoa, 8"," la Union Plazatxoa, 8 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",86,,2019-03-29,,139000,1,3,1,0,0,
"B/ Etxaguen. Casa de reciente construcción con muchas posibilidades, 360m2 mas 140m2 ampliables, soleada, situada en el parque natural de Ukiola con excelentes vistas. Con 3000m2 de terreno. A 40minitos de las tres capitales. Playa a unos 50 kilometros. Garaje. Trastero. Terraza. Calefacción. Jardín. CE: A.",más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,1,,,37453116, Casa de pueblo,,,Aramaio,Calle Etxaguen s/n," Calle Etxaguen s/n , Aramaio , Zuya, Álava ",,,"Zuya, Álava",3000,,2019-03-29,,480000,0,4,1,0,1,
"Se vende vivienda en abornikano (ayuntamiento de urkabustaiz) a 3 kms. De izarra,vivienda 86 m2, (dentro de un edificio compuesto de tres viviendas, consta de: ,•cocina-comedor, con balcón cerrado,•4 habitaciones,•cuarto de baño ,•calefacción individual; opcional gas/leña (cocina calefactora), con aprox. 10.000 kg. De leña,•txoko de 40 m2 y jardin de uso particular,buena conservación, para entrar a vivir. -.",más de 5 meses sin actualizar,0,1,1,1,1,segunda mano/buen estado,,en trámite,3 plantas,,1,,,82568918, Casa de pueblo,,,Urcabustaiz,"CP 01449, 1449 CP"," CP 01449, 1449 CP , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",86,,2019-03-29,,150000,0,4,1,0,1,
Negociables.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,1,,,29135242,Piso,,1,Urcabustaiz,"Calle Nueva Plaza, 9"," Calle Nueva Plaza, 9 , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",76,74,2019-03-29,"sur, oeste",90000,0,2,1,1,1,
"Magnifico chalet unifamiliar situado en Ametzaga -Zuia-. A 20 km deVitoria por autovia. Magnificas vistas. Planta baja (145,77m2 utiles): cocina, salon comedor, despensa, baño, 3 dormitorios y garaje para 2 plazas. Planta primera (58,50m2 utiles): 1 dormitorio, sala de estar, y baño. Consta tambien de sotano de 68,87m2 utilesy 2 porches.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,0,,,36141335, Casa o chalet independiente,,,Zuya,"Carretera Guillerna, 11"," Carretera Guillerna, 11 , Zuya , Álava ",,,Álava,1000,273,2019-03-29,,545000,0,4,0,0,0,
"Piso luminoso y céntrico, todo exterior, orientado hacia la plaza del pueblo. Cocina equipada con todos los electrodomésticos. Habitaciones semi-amuebladas. Prácticamente a estrenar. Agua y calefacción de gas ciudad. Parcela de garaje y trastero a pie de calle.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,1,,,38440698,Piso,,1,Urcabustaiz,"Calle Ugarte, 8"," Calle Ugarte, 8 , Urcabustaiz , Zuya, Álava ",,,"Zuya, Álava",100,,2019-03-29,sur,195000,1,3,1,0,1,
"Se vende caserio restaurado de piedra a los pies del monte Amboto. Tiene 7 habitaciones 3 baños, amplio salón. 400m2 por planta.,Precio negociable.",más de 5 meses sin actualizar,0,0,3,0,1,segunda mano/buen estado,,no indicado,,plaza de garaje incluida en el precio,0,,,81178589, Casa rural,,,Legutiano,Calle olaeta s/n," Calle olaeta s/n , Legutiano , Zuya, Álava ",,,"Zuya, Álava",800,,2019-03-29,,350000,0,7,0,0,0,
"distribución:,2 vecinos en el edificio",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,366036,Ático,,1,Legutiano,"Plaza Unión, 8"," Plaza Unión, 8 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",82,80,2019-03-29,,139000,0,3,1,0,0,
"Precio negociable. Una casa en un entorno de tranquilidad a escasos kilómetros de Vitoria, con un centro comercial al lado del pueblo. La casa cuenta con un sistema de calefacción ecológico con una chimenea calefactora y una placa solar que calienta el agua en verano. Un amplio jardín. Los tres baños están completos, y el de la habitación principal tiene ducha de hidromasaje. Txoko ahora abierto, pero con posibilidad de cerrar en un futuro, está preparado con las tomas de agua y luz para poner una cocina y jacuzzi si se desea. Precio negociable.",más de 5 meses sin actualizar,0,1,3,1,0,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,1,,,40219389, Casa o chalet independiente,,,Zigoitia,"Basalanda Kalea, Etxabarri Ibiña, 19"," Basalanda Kalea, Etxabarri Ibiña, 19 , Zigoitia , Zuya, Álava ",,,"Zuya, Álava",240,210,2019-03-29,,499000,0,4,0,0,1,
