link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/a-coruna/noia/,307,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/a-barcala/area-de-a-barcala/,85,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/xallas/area-de-xallas/,42,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/terra-de-soneira/area-de-terra-de-soneira/,66,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/terra-de-melide/area-de-terra-de-melide/,65,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/ortegal/area-de-ortegal/,260,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/ordes/area-de-ordes/,186,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/o-sar/area-de-o-sar/,99,2019-03-28,a coruna
http://idealista.com/venta-viviendas/naron-a-coruna/,649,2019-03-28,a coruna
http://idealista.com/venta-viviendas/sada-a-coruna/,568,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/santiago/brion-rois/,165,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/santiago/boqueixon-vedra/,98,2019-03-28,a coruna
http://idealista.com/venta-viviendas/santiago-de-compostela-a-coruna/,1153,2019-03-28,a coruna
http://idealista.com/venta-viviendas/ames-a-coruna/,575,2019-03-28,a coruna
http://idealista.com/venta-viviendas/culleredo-a-coruna/,481,2019-03-28,a coruna
http://idealista.com/venta-viviendas/val-do-dubra-a-coruna/,16,2019-03-28,a coruna
http://idealista.com/venta-viviendas/teo-a-coruna/,391,2019-03-28,a coruna
http://idealista.com/venta-viviendas/carral-a-coruna/,97,2019-03-28,a coruna
http://idealista.com/venta-viviendas/cambre-a-coruna/,306,2019-03-28,a coruna
http://idealista.com/venta-viviendas/arteixo-a-coruna/,463,2019-03-28,a coruna
http://idealista.com/venta-viviendas/oleiros-a-coruna/,835,2019-03-28,a coruna
http://idealista.com/venta-viviendas/ferrol-a-coruna/,1199,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/area-de-ferrol/area-de-fene-san-sadurnino/,324,2019-03-28,a coruna
http://idealista.com/venta-viviendas/abegondo-a-coruna/,97,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/mino-betanzos/,1066,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/area-de-ferrol/area-de-cedeira/,199,2019-03-28,a coruna
http://idealista.com/venta-viviendas/valdovino-a-coruna/,116,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/area-de-ferrol/area-de-ares-mugardos/,392,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/bergantinos/,680,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/barbanza/,930,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/muros/area-de-muros/,120,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/fisterra/area-de-fisterra/,301,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/eume/area-de-eume/,336,2019-03-28,a coruna
http://idealista.com/venta-viviendas/a-coruna/arzua/area-de-arzua/,125,2019-03-28,a coruna
link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/burgos/trevino/area-de-trevino/,181,2019-03-28,burgos
http://idealista.com/venta-viviendas/alava/zuya/area-de-zuya/,266,2019-03-28,alava
http://idealista.com/venta-viviendas/alava/salvatierra/area-de-salvatierra/,237,2019-03-28,alava
http://idealista.com/venta-viviendas/alava/laguardia-rioja-alavesa/laguardia-rioja-alavesa/,326,2019-03-28,alava
