ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Gran casa señorial en Venta, de particular a particular y sin comisiones a través de HOUSELL, de 414m2 a los cuatro vientos de gran carácter Patrimonial en el Centro de Hellín.,Estupenda construcción tipo modernista del año 1920, desde su nacimiento su robusta estructura es de hierro, tiene unos bellos suelos de cerámica originales estupendamente conservados, tanto como sus techos altos de más de 4 metros y calefacción de gasoil, las estancias todas muy espaciosas, que combinan perfectamente los grandes ventanales que dan vida con su luz natural, una gran escalera con calidad de época en conjunto con su barandilla, una preciosa fachada mantenida original. ,De una calidad de conservación superior, la vivienda cuenta con 7 habitaciones muy grandes, con hermosos armarios empotrados repartidos en habitaciones y zonas de paso, un gran salón, comedor y cocina en la primera planta y otro gran salón y cocina en la planta baja, bodega en el subsuelo de 45 m2, 3 baños, balcón, gran jardín accesible y muy privado con posibilidad de incorporar por un lateral acceso de garaje, en la actualidad con pozo de aljibe en la zona superior del edificio, existe un hermoso templete superior de dos alturas con 9 majestuosas ventanas, la cubierta esta toda restaurada, y la vivienda está en un estado exquisito de conservación.,Esplendorosa vivienda en la que su parte inferior fue usada como consulta médica y con posibilidad de negociar el mobiliario, hace de esta vivienda que esté lista para entrar a vivir. ,La ubicación es espléndida, muy cerca de todos los servicios, a los que puedes llegar a pie y sin necesidad de coger el coche. Está muy bien comunicada, con la parada de autobús a poco más de 500 metros, la estación de tren de Hellín a un cuarto de hora andando y una cómoda conexión a la A-30 que te permitirá llegar a Albacete en menos de tres cuartos de hora.,Llama al 693900894 para hacer una visita.,h0o1u6s1e4l0l.",Anuncio actualizado el 23 de marzo,0,0,3,1,0,segunda mano/buen estado,,en trámite,,,1,,,83122970, Casa o chalet,,,Hellín,," , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",414,400,2019-04-12,,398000,0,7,1,0,1,
,más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,,0,,,81171345,Piso,,0,Hellín,"Calle Ramón y Cajal, 6"," Calle Ramón y Cajal, 6 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",85,,2019-04-12,,55000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,81204694,Piso,,0,Liétor,"Calle Antonio Rodríguez de Escobar, 8"," Calle Antonio Rodríguez de Escobar, 8 , Liétor , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",125,,2019-04-12,,60000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,81204698,Piso,,0,Liétor,"Calle Antonio Rodríguez de Escobar, 8"," Calle Antonio Rodríguez de Escobar, 8 , Liétor , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",130,,2019-04-12,,50000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,plaza de garaje por 5.000 eur adicionales,0,,,82853162,Piso,,1,Hellín,"Calle Melchor de Macanaz, 20"," Calle Melchor de Macanaz, 20 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",96,,2019-04-12,,75000,0,3,0,0,1,
"Chalet independiente dentro de parcela de mas de 1000m2! Chalet de 125m en una sola planta con salóncomedor, 3 dormitorios, bañoaseo y cocina. Anexo con una habitacion, despensa y cocina adicional. Garaje para 2 coches. Patio delantero con parras y trasero. Ambos comunicados por pasillos laterales a la casa y dando a dos calles. La casa con los dos patios y pasillos hacen un total de 1092m.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,,plaza de garaje incluida en el precio,0,,,369591, Casa o chalet independiente,,,Albatana,"Calle la Paz, 16"," Calle la Paz, 16 , Albatana , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",1000,,2019-04-12,,60000,0,3,0,0,0,
"Vivienda rustica en Los Mardos con 110m2 habitables, patio interior de 30m2, otros 100m2 cubiertos. Dotada de porche y horno artesano, asi como de mas cocheras y un espacio vallado con muro de unos 200m2. Posee 1500m2 sin vallar alrededor de la Casa. El precio es negociable.",más de 5 meses sin actualizar,0,0,2,0,1,segunda mano/buen estado,,,2 plantas,,0,,,31532886, Casa de pueblo,,,Tobarra,"barrio de arriba, 16"," barrio de arriba, 16 , Tobarra , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",1500,,2019-04-12,sur,60000,0,3,0,0,0,
"Muy soleado, iluminación en todas las habitaciones y cocina. Muy tranquilo y sin problemas de aparcamiento.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/para reformar,,no indicado,planta 1ª exterior,,1,,,39090303,Piso,,0,Ontur,Urb. No," Calle García Lorca, 8 , Urb. No , Ontur , Campo de Hellín, Albacete ","Calle García Lorca, 8",,"Campo de Hellín, Albacete",70,65,2019-04-12,norte,30000,0,3,0,0,0,
"Vivienda de 115 m2 reformada, suelo de tarima, ventanas oscilobatientes, climalit. 2 habitaciones, vestidor, salón comedor, 1 baño, cocina amueblada, despensa, lavadero, patio con barbacoa y trastero. Certificado energetico en trámite.",más de 5 meses sin actualizar,1,0,1,1,0,segunda mano/buen estado,,en trámite,bajo exterior,,0,,,2174120,Piso,,0,Hellín,"Calle Buenavista, 24"," Calle Buenavista, 24 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",115,90,2019-04-12,,99900,0,2,1,0,0,
"Casa independiente en Ontur, población provista de pequeño aeródromo (posibilidad de alquiler a turistas que vienen a practicar aviación y paracaidismo). Dispone de 2 dormitorios, 2 cuartos de baño y salón-comedor amplio (30 m2 aprox. ), así como de garaje-trastero y barbacoa de obra. Ubicada en terreno urbanizable de unos 1000m2.,OFERTA MES DE AGOSTO: 57.000€.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,,,0,,,32193708, Casa o chalet independiente,,,Ontur,"Calle pascual abellán, 201"," Calle pascual abellán, 201 , Ontur , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",1035,100,2019-04-12,,57000,0,2,1,0,1,
