ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Amplia casa de 358 m² de superficie y 4.600 m² de parcela en Villena, provincia de Alicante.,La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita. La casa tiene dos plantas de altura y se distribuye en un salón, cinco habitaciones, la principal en suite con vestidor y cuarto de baño, dos baños adicionales, barbacoa y bodega en la planta baja, y dos cocinas amuebladas y equipadas con electrodomésticos, una americana con el salón y otra totalmente independiente del resto de las estancias. Además, el chalet cuenta con balcón que aporta gran luminosidad a toda la estancia, terraza para que disfrutes del buen tiempo, un patio para que puedas desayunar al aire libre y armarios empotrados para optimizar tu espacio de almacenaje.,También cuenta con jardín privado con un porche cubierto en el que aprovecharás el buen tiempo, una piscina privada que hará el calor veraniego mucho más llevadero, y trastero exterior para que guardes todo aquello que necesites. Este chalet, situado en una vía de fácil acceso, tiene garaje para que puedas aparcar con comodidad hasta cuatro coches. Además, por su orientación sur, es una casa muy soleada en las horas centrales del día. ,La vivienda, está amueblada y reformada, lista para entrar a vivir. En cuanto a las calidades, este chalet cuenta con aire acondicionado con bomba de calor, chimenea en el salón, carpintería de aluminio y suelo de terrazo. Para que te sientas más seguro en tu hogar, la puerta principal está reforzada. ,Esta casa está situada en una zona bien comunicada, muy cerca de la parada de autobús y con un rápido acceso a la A-31 que te permitirá llegar a Alicante en una media hora. Para mayor comodidad, la vivienda se encuentra muy cerca de un colegio y de los servicios necesarios apra el día a día, a los que podrás acceder en el núcleo urbano de Villena, a cinco minutos en coche.,Llama al 693900894 para hacer una visita.,h1o0u2s0e3l2l.",Anuncio actualizado el 1 de abril,1,0,3,1,0,segunda mano/buen estado,,en trámite,,plaza de garaje incluida en el precio,1,,,84515051, Casa o chalet,,,Villena,," , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",4600,315,2019-04-14,,305000,0,5,1,1,1,
,más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,,no indicado,3 plantas,,0,,,81456076, Casa o chalet independiente,,,Villena,"Calle de los Parrales, 54"," Calle de los Parrales, 54 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",137,,2019-04-14,este,144000,0,2,1,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,81547993,Piso,,0,Villena,"Calle Pintor Juan Gris, 30"," Calle Pintor Juan Gris, 30 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",101,,2019-04-14,,68000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,82294451,Piso,,1,Villena,"Calle San Antón, 11"," Calle San Antón, 11 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",48,,2019-04-14,,120000,0,1,1,0,1,
Se sitúa a 500 metros del pueblo.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,,,0,,,81806893, Casa o chalet independiente,,,Sax,Polígono La Suerte s/n," Polígono La Suerte s/n , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",60,,2019-04-14,,100000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,,planta 3ª exterior,,1,,no dispone de calefacción,82039750,Piso,,0,Biar,"San cristobal, 9"," San cristobal, 9 , Biar , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",120,112,2019-04-14,,52000,0,4,1,1,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,37262346,Piso,,1,Villena,"Calle de la Leona, 14"," Calle de la Leona, 14 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",62,,2019-04-14,,80000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,37262306,Piso,,1,Villena,"Calle de Gil Osorio, 15"," Calle de Gil Osorio, 15 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",90,,2019-04-14,,85000,0,3,0,0,0,
"Vivienda Unifamiliar adosada independiente, situada en calle Nicaragua 26, compuesta de planta baja y alta. 121m superfie total-97m utiles. La planta baja consta de porche de entrada, vestibulo con escalera, salon-comedor, aseo, cocina, galeria-lavadero y dormitorio y um patio lateral y posterior con cesped artificial y piscina. La planta alta consta de 4 dormitorios y cuarto de baño unidas ambas plantas por una escalera.,Garaje privado.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,0,,,30035774, Chalet adosado,,,Salinas,"Calle Nicaragua, 26"," Calle Nicaragua, 26 , Salinas , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",121,97,2019-04-14,,115000,0,5,0,1,0,
"Local enfocado a local de hostelería,Cueva antigua de 1600.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,,,0,,,37263956, Casa o chalet independiente,,,Villena,"Calle Libertad, 10"," Calle Libertad, 10 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",200,,2019-04-14,,80000,0,4,1,0,1,
"A 30 minutos de la playa de Alicante. Zona tranquila para familias con niños y numerosas. Vecindario joven. Colegios e Institutos a 300 m. La casa dispone de 3 plantas con garage hogar chimenea, buardilla. Jardín comunitario 3.000 m con piscina y zona deportiva y paseo.",más de 5 meses sin actualizar,0,0,4,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,37566131, Chalet adosado,,,Villena,"Avenida Esteban Barbado, 59"," Avenida Esteban Barbado, 59 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",450,,2019-04-14,,230000,0,4,0,0,0,
"Se vende piso en Villena (Alicante),Primera planta exterior a dos calles.,Fachada reformada en Julio 2018,Precio negociable.",más de 5 meses sin actualizar,1,1,1,0,0,segunda mano/para reformar,,no indicado,planta 1ª exterior,,0,,,82031795,Piso,,0,Villena,"Calle Jacinto Benavente, 29"," Calle Jacinto Benavente, 29 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",100,,2019-04-14,"norte, este",59000,0,5,0,0,0,
,más de 5 meses sin actualizar,1,1,2,1,0,segunda mano/buen estado,1984,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,435914,Ático,,0,Salinas,"Avenida Juan Carlos I, 7"," Avenida Juan Carlos I, 7 , Salinas , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",143,,2019-04-14,oeste,60000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,27576852, Casa de pueblo,,,Campo de Mirra,"Calle San Bartolomeo, 36"," Calle San Bartolomeo, 36 , Campo de Mirra , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",120,,2019-04-14,,126000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,0,,,37265655,Piso,,1,Villena,"Avenida Constitución, 85"," Avenida Constitución, 85 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",135,,2019-04-14,,80000,0,4,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,,planta 5ª exterior,plaza de garaje incluida en el precio,0,,,37265882,Piso,,1,Villena,"Calle Ferriz, 30"," Calle Ferriz, 30 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",90,,2019-04-14,,120000,0,3,1,0,1,
,más de 5 meses sin actualizar,1,0,1,0,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,,0,,,37873483,Piso,,0,Villena,"Calle del Capitán López Tarruella, 4"," Calle del Capitán López Tarruella, 4 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",84,,2019-04-14,,41900,0,3,1,0,0,
,más de 5 meses sin actualizar,0,1,2,1,0,segunda mano/buen estado,1970,no indicado,planta 4ª exterior,,0,,,39351191,Piso,,1,Villena,"Paseo Chapí, 15"," Paseo Chapí, 15 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",160,,2019-04-14,"sur, este",100000,1,6,1,0,1,
,más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,1,,calefacción individual,27096706, Casa o chalet independiente,,,Sax,"Camino Regatillo, 1400"," Camino Regatillo, 1400 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",14000,250,2019-04-14,"norte, sur, este, oeste",250000,1,7,1,1,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,1 planta,,0,,,82459968, Finca rústica,,,Sax,"Poligono 3, 157"," Poligono 3, 157 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",7500,,2019-04-14,,170000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,0,,,82605567,Piso,,1,Sax,"Calle Reyes Católicos, 16"," Calle Reyes Católicos, 16 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",90,,2019-04-14,,115000,0,2,0,0,0,
Casa en el centro de Villena con dos plantas de 65 m2 cada una y posibilidad de construir una más. Ideal para reformar y poder vivir en una casa en el centro con todas las comodidades.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,inmueble exento,2 plantas,,0,,,26991754, Casa o chalet independiente,,,Villena,"Calle Jose María Soler, 12"," Calle Jose María Soler, 12 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",70,130,2019-04-14,norte,63000,0,4,0,0,1,
"Estupendo chalet dentro de una poblacion, con todos los servicios. Entre pinos y a 40 min. de la playa. Construccion nueva y de calidad.",más de 5 meses sin actualizar,0,0,3,1,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,28474804, Casa o chalet independiente,,,Cañada,"Calle Manuel Ocaña Valverde, 21"," Calle Manuel Ocaña Valverde, 21 , Cañada , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",1054,,2019-04-14,,250000,0,4,1,1,1,
"Piso totalmente reformado, electricidad, fontaneria todo nuevo. Suelo radiante. Mejor verver! precio negociable!",más de 5 meses sin actualizar,1,0,1,0,0,segunda mano/buen estado,,,planta 3ª interior,,0,,,31758227,Piso,,0,Villena,"Calle escalona, 7"," Calle escalona, 7 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",80,,2019-04-14,,55000,0,3,0,0,0,
"Se vende preciosa casa de campo en muy buen estado para vivir todo el año rodeada de pinos, almendros y olivos en un paraje tranquilo. Esta a 5 minutos de Sax y a 3 minutos de las autovías de Alicante-Madrid y Alcoy-Alicante. Casas colindantes habitadas alrededor.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,1 planta,,1,,,2082254, Casa o chalet independiente,,,Sax,"Camino Cavas - Peñarrubia, 2"," Camino Cavas - Peñarrubia, 2 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",7000,,2019-04-14,,94000,0,2,1,1,1,
"Entorno natural, con supermercados cercanos. Turismo cultural.,Bares rústicos, casa rural a 700 m.,A 5 min del AVE.,Hay un helipuerto cercano, empresa de globos aerostáticos. También hay una ,nave construida de 440 metros pueden entrar camiones tráiler autobuses ,ideal para Hotel Casa Rural u otra construcción",más de 5 meses sin actualizar,0,1,3,1,1,segunda mano/para reformar,1936,no indicado,2 plantas,,1,,,35665748, Finca rústica,,,Campo de Mirra,"Camino Cañada, 11"," Camino Cañada, 11 , Campo de Mirra , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",2714,299,2019-04-14,este,190000,0,7,1,1,1,
"piscina, salon comedor grande con cocina de leña,,precio negociable.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,en trámite,1 planta,plaza de garaje incluida en el precio,0,,,36003775, Casa rural,,,Sax,"Camino de los colegiales, 1"," Camino de los colegiales, 1 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",2500,,2019-04-14,,149000,0,3,1,0,0,
Camp de. mirra. Chalet Duplec garaje piscina. 600 metros cuadraos. vistas urbanizacion y pistas de tenis polideportivo. Playa a unos 50 kilometros.,más de 5 meses sin actualizar,1,0,4,1,0,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,0,,,36090999, Chalet adosado,,,Benejama,"Calle Constitució, 16"," Calle Constitució, 16 , Benejama , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",650,350,2019-04-14,,330000,0,4,0,1,1,
"! Oferton¡ Piso muy amplio y luminoso. Excelente orientación, en zona tranquila con servicios, colegios, mercado, centro salud, comercios. Cercano a parque central. A tan sólo 7 minutos del centro. Habitaciones con armarios empotrados muy cuadradas y todo exterior. Ropero interior. Precio muy interesante por zona y metros.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,,0,,,36631107,Piso,,0,Villena,"POETA EMILIA PARDO BAZAN, 3"," POETA EMILIA PARDO BAZAN, 3 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",136,127,2019-04-14,"sur, este",39000,0,4,1,0,1,
"Casa de nueva construcción en tres plantas situada a 2 minutos del Paseo del Plátano y Plaza del Ayuntamiento, en una zona tranquila del casco histórico. Acceso en coche hasta las dos entradas de las que dispone la casa en dos calles diferentes. Calefacción por suelo radiante, trastero y terraza. Completamente equipada y amueblada.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,3 plantas,,0,,,28165343, Casa o chalet independiente,,,Biar,"Calle Carriles, 11"," Calle Carriles, 11 , Biar , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",98,66,2019-04-14,este,75000,0,3,1,0,1,
Piso con buenos acabados con sólo 8 años de antigüedad. Esta semiamueblado y con vestidor a medida.,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,38902559,Piso,,1,Sax,"Calle Industrias, 29"," Calle Industrias, 29 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",136,128,2019-04-14,,118000,0,4,1,0,0,
Reformada cocina y baño. precio negociable.,más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,,0,,,81176049,Piso,,1,Biar,"Calle Jesús Juan Bernabéu, 5"," Calle Jesús Juan Bernabéu, 5 , Biar , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",90,,2019-04-14,,45000,0,3,0,0,0,
El piso esta bien falta algún arreglo por dejadez y una buena limpieza.,más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,1994,,planta 3ª exterior,,0,,,81202085,Piso,,0,Villena,"Calle Rulda, 30"," Calle Rulda, 30 , Villena , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",90,,2019-04-14,,60000,0,3,1,0,0,
"2 grandes terrazas. Ventanas de aluminio. Persianas automáticas. Puerta blindada. Cocina con encimera de granito. Galeria.,Pre-instalacion de gas natural.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,,0,,,81443688,Piso,,0,Sax,"Calle Santa Lucía, 18"," Calle Santa Lucía, 18 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",90,,2019-04-14,,52000,0,3,0,0,1,
"Se vende casa de planta baja con 172 m.,140m construidos y el resto destinado al patio, de unos 30m.,Tiene 3 habitaciones, 1 baño con ducha, salón comedor, cocina y despensa.,En el patio hay dos trasteros independientes y un cuarto de lavar.,Casa para entrar a vivir, completamente amueblada.,Con electrodomésticos:,Frigorífico, lavadora, horno, microondas, dos televisores, etc.,Tal y como se ve en las fotos.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,,1 planta,,0,,,82369264, Chalet adosado,,,Sax,"Calle Ancha Vilaje, 15"," Calle Ancha Vilaje, 15 , Sax , Alt Vinalopó, Alicante ",,,"Alt Vinalopó, Alicante",172,140,2019-04-14,,70000,0,3,0,0,0,
