ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"DISFRUTA DE ESTA VIVIENDA POR UNA CUOTA MENSUAL DE 190.57 EUROS AL MES, A 30 AÑOS. ¿Quieres saber cuánto dinero puedes ahorrar al mes si te conseguimos nuestra mejor hipoteca?, No te preocupes. Nosotros lo haremos por tí. Contacta con nosotros y te haremos un estudio gratuito.,DE ESTA PROPIEDAD DEBES CONOCER.. .,-Estupenda oportunidad de compra en Centre Vila, Vilafranca del Penedés.,-Finca construida en el año 1885, situado en una segunda planta sin ascensor.,-Excelente situación, en calle PEATONAL, suponiendo una GRAN INVERSIÓN DE COMPRA, ALTA RENTABILIDAD DE ALQUILER.,-El estado actual de la vivienda es de origen, disponiendo de salón comedor, cocina, baño y dos habitaciones y vestidor,-Gastos de comunidad 20 euros al mes¡,-SUPER OPORTUNIDAD DE COMPRA¡,TE SORPRENDERÁ POR.,-Su excelente ubicación, próximo a centre vila y sus comercios, tiendas, etc,-Excelente comunicaciones, (autopista, etc) y Renfe.,-Su precio, es una GRAN OPORTUNIDAD DE COMPRA¡,SOBRE NOSOTROS.,En PLUSVILA Real Estate, somos Agentes de la Propiedad Inmobiliaria, que ofrecemos al propietario todos los servicios necesarios para que pueda vender su propiedad con el mejor servicio Inmobiliario del mercado. Plan de Marketing personalizado, la más avanzada tecnología del sector y los mejores profesionales, al servicio de nuestros clientes. Para más información, visítenos en plusvila. com.",Anuncio actualizado el 10 de abril,0,0,1,0,0,,,,planta 1ª,,0,,,84689154,Piso,,,Vilafranca del Penedès,Distrito Centre Vila," , Distrito Centre Vila , Vilafranca del Penedès , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",70,55,2019-04-12,,57000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/buen estado,1960,no indicado,3 plantas,plaza de garaje incluida en el precio,1,,,81252831, Casa de pueblo,,,Torrelavit,"Calle de Joan i Jaume Ràfols, 18"," Calle de Joan i Jaume Ràfols, 18 , Torrelavit , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",351,300,2019-04-12,"norte, sur",120000,0,2,1,0,1,
"Casa en el Pla del Diable, dispone de 3 Baños, 5 Habitaciones, 3 Terrazas (1 de 120 m2), Cocina de 28 m2, 2 Salón-Comedor, Parking Subterráneo de 170 m2, posibilidad de 2 viviendas independientes, espacio para instalar ascensor.....etc.",más de 5 meses sin actualizar,1,0,3,0,0,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,1,,,1941720, Casa o chalet independiente,,,Vilafranca del Penedès,Distrito Sant Julià," Pasaje Joan Fuster, 7 , Urb. pla del diable , Distrito Sant Julià , Vilafranca del Penedès , Alt Penedès, Barcelona ",Urb. pla del diable,"Pasaje Joan Fuster, 7","Alt Penedès, Barcelona",401,,2019-04-12,"sur, este",620000,0,5,1,0,1,
"Suelo de parqué laminado, instalación de gas con caldera para agua caliente y radiadores de calefacción.",más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje por 1 eur adicionales,0,,,37945359,Piso,,1,Gelida,Avenida Europa s/n," Avenida Europa s/n , Gelida , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",87,,2019-04-12,"sur, oeste",190000,0,3,0,0,1,
,más de 5 meses sin actualizar,0,0,3,1,0,segunda mano/buen estado,,en trámite,3 plantas,plaza de garaje incluida en el precio,1,,,29190654, Casa o chalet independiente,,,Gelida,"Calle Coral Artesans, 7"," Calle Coral Artesans, 7 , Gelida , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",2200,420,2019-04-12,norte,450000,0,5,1,0,1,
,más de 5 meses sin actualizar,1,1,2,0,0,segunda mano/buen estado,,,planta 1ª exterior,,0,,,37608772,Dúplex,,0,Vilafranca del Penedès,Distrito Centre Vila," Calle de puigmoltó, 11 , Distrito Centre Vila , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle de puigmoltó, 11",,"Alt Penedès, Barcelona",370,270,2019-04-12,este,360000,0,7,1,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,81235808,Piso,,1,Santa Margarida i els Monjos,"Avenida de Cal Salines, 10"," Avenida de Cal Salines, 10 , Santa Margarida i els Monjos , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",85,,2019-04-12,,103000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,35879258,Piso,,1,Sant Quintí de Mediona,"Avenida de Catalunya, 39"," Avenida de Catalunya, 39 , Sant Quintí de Mediona , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",70,,2019-04-12,,121000,0,2,0,0,0,
planta baja en el centro del pueblo 3 habitaciones 1 baño cocina equipada comedor co salida a terraza y trastero. agua y luz dado de alta.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,1960,no indicado,bajo exterior,,0,,,82648406,Piso,,0,Sant Quintí de Mediona,"juan maragall, 41"," juan maragall, 41 , Sant Quintí de Mediona , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",60,55,2019-04-12,norte,55000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/buen estado,,no indicado,3 plantas,,0,,,37369375, Casa o chalet independiente,,,Olèrdola,"Calle del Sindicat, 9"," Calle del Sindicat, 9 , Olèrdola , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",240,,2019-04-12,,300000,0,6,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,bajo exterior,plaza de garaje incluida en el precio,0,,,418969,Dúplex,,1,Gelida,"Calle Moli Nou, 15"," Calle Moli Nou, 15 , Gelida , Alt Penedès, Barcelona ",,,"Alt Penedès, Barcelona",127,,2019-04-12,,250000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,419312, Casa o chalet independiente,,,Subirats,Urb. casablanca," Calle Cal Senyoret, 36 , Urb. casablanca , Subirats , Alt Penedès, Barcelona ","Calle Cal Senyoret, 36",,"Alt Penedès, Barcelona",1800,,2019-04-12,,170000,0,4,1,1,1,
