ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Subasta online de Vivienda unifamiliar señalada con el número cuatro en la calle Antonio Ramos Ramírez en la localidad gaditana de Espera, con una superficie construida de 99,32 metros cuadrados, de los que 53,58 corresponden a la planta baja y 45,74 a la planta alta.,La planta baja se distribuye en entrada exterior, entrada, salón comedor, pasillo distribuidor, cuarto de aseo, un dormitorio, cocina, escalera y patio. La planta alta consta de pasillo distribuidor, tres dormitorios, cuarto de baño y terraza.,La ficha catastral y una nota simple se encuentran disponibles para su consulta en la documentación adjunta.,El inmueble que usted ha visto en el anuncio, procede de un concurso de acreedores, Activos Concursales, S. L. , es la plataforma de subasta online que ha sido elegida por el Administrador Concursal y ratificada por el Juzgado para realizar la subasta online de dicho inmueble a través de su plataforma de venta de producto eactivos. com.,Puede acceder a las subastas y poder pujar en la plataforma de venta de producto y liquidaciones ,Si usted está interesado y desea participar en su subasta pujando la cantidad que estime, deberá registrarse como usuario en nuestra página web: . .",Anuncio actualizado el 12 de abril,0,0,1,0,0,segunda mano/buen estado,2009,en trámite,,,0,,,82211554, Casa o chalet independiente,,,Espera,"Antonio Ramos Ramírez, 4"," Antonio Ramos Ramírez, 4 , Espera , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",99,,2019-04-14,este,65000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,1 planta,,0,,,35127651, Casa de pueblo,,,Villamartin,"Calle de la Fuentezuela, 93"," Calle de la Fuentezuela, 93 , Villamartin , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",227,,2019-04-14,,43000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª interior,,0,,,37692012,Piso,,0,Villamartin,"Avenida Sevilla, 35"," Avenida Sevilla, 35 , Villamartin , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",56,,2019-04-14,,52000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,40558920,Piso,,0,Benaocaz,"Encinalejo, 5"," Encinalejo, 5 , Benaocaz , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",55,,2019-04-14,,85000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,81361345,Piso,,0,Espera,"Calle Sol, 12"," Calle Sol, 12 , Espera , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",62,,2019-04-14,,50000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,82681453,Piso,,1,Olvera,"Calle Mercado, 17"," Calle Mercado, 17 , Olvera , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",75,,2019-04-14,,65000,0,1,0,0,0,
Precio negociable.,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,35075352, Chalet adosado,,,Arcos de la Frontera,"Calle grupo poetico alcaravan, 27"," Calle grupo poetico alcaravan, 27 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",130,,2019-04-14,,130000,0,4,0,0,0,
"Piso de tres dormitorios, dos baños, uno con jacuzzi y otro con ducha patio de 17 m salón amplio, cocina, lavadero, plaza de garaje, hilo musical en todas las estancias.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,35110504,Piso,,0,Olvera,"Calle Albéniz, 16"," Calle Albéniz, 16 , Olvera , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",130,,2019-04-14,,135000,0,3,0,0,1,
"piso de 177m² en planta primera y última de edificio que hace esquina, luminoso y alegre​ en zona cercana a comercios de todo tipo, negocios y centros escolares. solería y ventanas renovadas, armario empotrado, de aluminio imitación madera.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,exterior,,0,,,36749333,Piso,,0,Villamartin,"Calle lepanto, 2"," Calle lepanto, 2 , Villamartin , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",177,,2019-04-14,"norte, oeste",85000,0,4,0,0,1,
precio negociable.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,bajo exterior,,0,,,37733580,Piso,,0,Prado del Rey,"Calle Clara Campoamor, 1"," Calle Clara Campoamor, 1 , Prado del Rey , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",67,,2019-04-14,,60000,0,2,0,0,1,
Rio guadalete p. 54 n2a. piso situado en calle rio Guadalete un 2a amoblado precio llamar contesto namas llamadas. 2ª Planta. Amueblado.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,37746986,Piso,,1,Bornos,"Calle Río Guadalete, 54"," Calle Río Guadalete, 54 , Bornos , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",78,,2019-04-14,,60000,0,3,0,0,0,
Estupendo piso en las cantares posibilidad de subrogación de hipoteca dos dormitorios amplios cocina con trastero salón comedor todo muy amplio no dispongo de fotos interesado llamar.,más de 5 meses sin actualizar,1,1,1,1,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,81278325,Piso,,0,Arcos de la Frontera,"Calle Sevilla, 4"," Calle Sevilla, 4 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,,"Sierra de Cádiz, Cádiz",74,70,2019-04-14,,62200,0,2,1,0,0,
