ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Amplia casa de 197 m² en Planoles, provincia de Girona, a 25 minutos de la estación de esquí de La Molina.,El chalet te ofrece espacio más que suficiente para una familia con hijos. Tiene dos plantas de altura y se distribuye en un salón, tres habitaciones, un cuarto de baño, un aseo y cocina amueblada, totalmente independiente del resto de estancias y equipada con electrodomésticos. Además, el chalet cuenta con terraza para que disfrutes del buen tiempo y armarios empotrados para optimizar tu espacio de almacenaje.,También cuenta con trastero para que puedas aprovechar todo el espacio de la vivienda. Este chalet, situado en una vía de fácil acceso, tiene garaje para que puedas aparcar con comodidad hasta dos coches. ,La vivienda está amueblada y en buen estado, lista para entrar a vivir. En cuanto a las calidades, este chalet cuenta con calefacción de gas, carpintería de madera y suelo de parquet, que da mucha calidez a la vivienda. Para que te sientas más seguro en tu hogar, la puerta principal está reforzada.,Esta casa está situada en una zona bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un hospital y de un colegio, así como del resto de servicios necesarios para el día a día. ,Para visitar esta casa llama al 693900894. ,h1o0u1s9e1l3l.",Anuncio actualizado el 13 de abril,0,0,2,1,0,segunda mano/buen estado,,en trámite,,plaza de garaje incluida en el precio,0,,,84583299, Casa o chalet,,,Toses,," , Toses , Ripollès, Girona ",,,"Ripollès, Girona",197,166,2019-04-15,,275000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,bajo exterior,plaza de garaje incluida en el precio,0,,,32480175,Piso,,0,Ripoll,"Calle de vista alegre, 14"," Calle de vista alegre, 14 , Ripoll , Ripollès, Girona ",,,"Ripollès, Girona",140,,2019-04-15,,200000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,35944672,Piso,,0,Ripoll,"Calle Perdut, 10"," Calle Perdut, 10 , Ripoll , Ripollès, Girona ",,,"Ripollès, Girona",64,,2019-04-15,,119500,0,3,1,0,0,
,más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,81158906,Piso,,0,Sant Joan de les Abadesses,"Calle de Manigosta, 18"," Calle de Manigosta, 18 , Sant Joan de les Abadesses , Ripollès, Girona ",,,"Ripollès, Girona",82,,2019-04-15,,115000,0,3,1,0,0,
",Ubicado en el centro de la población, disfruta de una terraza con excelentes vistas, este penthouse esta hecho con un diseño cuidado donde destaca la chimenea que separa la sala de estar de la cocina.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,81410845,Ático,,1,Ribes de Freser,"Calle Major, 1"," Calle Major, 1 , Ribes de Freser , Ripollès, Girona ",,,"Ripollès, Girona",62,,2019-04-15,,80000,0,1,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,38197092, Casa o chalet independiente,,,Ripoll,Carretera de caltrinxaire s/n," Carretera de caltrinxaire s/n , Ripoll , Ripollès, Girona ",,,"Ripollès, Girona",2327,,2019-04-15,,180000,0,4,0,0,0,
"casa de 600 metros planta baja local comercial, 2º planta almacén, 3º planta vivienda de unos 130 metros, garaje en sótano.",más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,0,,,321374, Casa o chalet independiente,,,Campdevánol,"Calle Raval, 1"," Calle Raval, 1 , Campdevánol , Ripollès, Girona ",,,"Ripollès, Girona",660,,2019-04-15,"este, oeste",300000,0,4,1,0,1,
"Incluye parking y trastero. Piso con excelentes vistas, situado en el Valle de Vilallonga, a 5 minutos de Camprodón y cerca de las pistas de ski de Vallter 2000. Perfecto para escapar de la ciudad y respirar aire puro.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,36260745,Dúplex,,1,Llanars,Urb. El Quintà," Calle del Quintà, 10 , Urb. El Quintà , Llanars , Ripollès, Girona ","Calle del Quintà, 10",,"Ripollès, Girona",102,,2019-04-15,,220000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,32206943,Piso,,0,Toses,"Camino collet nuria poligono 6, 3"," Camino collet nuria poligono 6, 3 , Toses , Ripollès, Girona ",,,"Ripollès, Girona",90,,2019-04-15,,155000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,35064729,Piso,,0,Camprodon,"Calle d'Ignasi Casabó, 15"," Calle d'Ignasi Casabó, 15 , Camprodon , Ripollès, Girona ",,,"Ripollès, Girona",85,,2019-04-15,,170000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,0,,,37457107, Casa de pueblo,,,Planoles,"Calle mayor de planes, 7"," Calle mayor de planes, 7 , Planoles , Ripollès, Girona ",,,"Ripollès, Girona",150,,2019-04-15,,230000,0,5,0,0,1,
,más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,81551558,Dúplex,,0,Setcases,"Camino d'Ull de Ter, 1"," Camino d'Ull de Ter, 1 , Setcases , Ripollès, Girona ",,,"Ripollès, Girona",95,,2019-04-15,,210000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,82393342,Piso,,1,Camprodon,"Paseo de la Muralla, 10"," Paseo de la Muralla, 10 , Camprodon , Ripollès, Girona ",,,"Ripollès, Girona",50,,2019-04-15,,86000,0,1,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,plaza de garaje incluida en el precio,0,,,29455495,Piso,,1,Ripoll,"Calle de Josep Maria Pellicer, 54"," Calle de Josep Maria Pellicer, 54 , Ripoll , Ripollès, Girona ",,,"Ripollès, Girona",105,,2019-04-15,,150000,0,4,0,0,0,
"Planta baja de 40 mts. de vivienda + 50 mts. de jardín privado y plaza de garaje en finca seminueva. Totalmente amueblado y equipado para 4/5 personas, el apartamento consta de 1 habitación, 1 baño con ducha y comedor-cocina office. A 5 min. de Camprodon y 20 kms. de pistas de esquí Vallter 2000., distribución:, jardín de 50 m2,6 vecinos en el edificio.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,bajo exterior,plaza de garaje incluida en el precio,0,,,396602,Piso,,1,Vilallonga de Ter,"Calle Viver, 11"," Calle Viver, 11 , Vilallonga de Ter , Ripollès, Girona ",,,"Ripollès, Girona",40,,2019-04-15,,120000,0,1,0,0,0,
"bonito apartamento que consta de 2 habitaciones, 1 baño y cocina/comedor. Tiene estufa de leña, calefacción eléctrica también y 2 balcones. Entra mucha luz y está completamente amueblado Y TIENE PLAZA DE PARKING., distribución:, 2 vecinos en el edificio, la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,2103439,Piso,,0,Vilallonga de Ter,"Calle Santo Domingo, 21"," Calle Santo Domingo, 21 , Vilallonga de Ter , Ripollès, Girona ",,,"Ripollès, Girona",54,44,2019-04-15,,170000,0,2,0,0,1,
"Tiene un magnifico jardin, 5 hc de terreno, pozo propio de agua, calefaccion por suelo rafiante, tres chimeneas, una de ellas en la cocina.",más de 5 meses sin actualizar,0,0,4,1,1,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,1,,,29026042, Finca rústica,,,Sant Joan de les Abadesses,"Mas Can Blau, 101"," Mas Can Blau, 101 , Sant Joan de les Abadesses , Ripollès, Girona ",,,"Ripollès, Girona",680,,2019-04-15,este,700000,0,7,1,0,1,
"Casa en Ventolà, a 15 minutos de las pistas de esquí. Restaurante en el mismo pueblo abierto a todas horas. Diseño y conbtrucción única. Se puede hacer un alquiler con opción a compra, desontando en el momento de la compra el 50% del alquiler pagado (1200€/mes).",más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,,no indicado,4 plantas,plaza de garaje incluida en el precio,1,,,30268282, Casa o chalet independiente,,,Ribes de Freser,"Plaza Font, 1"," Plaza Font, 1 , Ribes de Freser , Ripollès, Girona ",,,"Ripollès, Girona",800,,2019-04-15,"norte, sur, este, oeste",495000,0,5,1,0,1,
"Piso situado en el centro de camprodon. Reformado, muy acogedor. Parket, calefaccion, muebles nuevos. Cocina reformada. 2 habitaciones dobles. 1 baño. Balcones.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,,0,,,31576916,Piso,,1,Camprodon,"Calle ferrer bàrbara, 44"," Calle ferrer bàrbara, 44 , Camprodon , Ripollès, Girona ",,,"Ripollès, Girona",60,,2019-04-15,norte,125000,0,2,0,0,0,
Con calefacción de gas. Ideal para gente que va a esquiar.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,,planta 1ª exterior,plaza de garaje incluida en el precio,1,,,26717912,Piso,,0,Ripoll,Urb. Colonia Noguera," Colonia Noguera, 1 , Urb. Colonia Noguera , Ripoll , Ripollès, Girona ","Colonia Noguera, 1",,"Ripollès, Girona",70,66,2019-04-15,norte,70000,0,3,0,0,0,
"Con un despacho, salón amplio y cocina.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,bajo exterior,,0,,,36463265,Piso,,1,Ripoll,"Carretera de Ribes, 81"," Carretera de Ribes, 81 , Ripoll , Ripollès, Girona ",,,"Ripollès, Girona",72,,2019-04-15,,145000,0,2,1,0,0,
