ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Coqueta casa rústica de 135 m² con parcela de 5.010 m² en El Pozuelo, Zalamea la Real, provincia de Huelva.,La vivienda, por espacio y distribución, es ideal para una familia con hijos. ,Esta casa se distribuye en planta baja y se divide en un salón-comedor, dos habitaciones, un cuarto de baño y cocina tipo americana, amueblada y equipada con electrodomésticos. Además, la casa rural cuenta con terraza para que disfrutes del buen tiempo, un patio con muchas posibilidades y armarios empotrados para aumentar la capacidad de almacenaje de tu hogar.,También cuenta con jardín privado con zona de barbacoa y de árboles frutales y huerto en el que aprovecharás el buen tiempo, y trastero exterior para que puedas aprovechar todo el espacio de la vivienda. Esta casa rural, situado en una vía de fácil acceso, cuenta con garaje para que puedas aparcar tu coche con comodidad. Además, por su orientación este, en esta casa disfrutarás del sol por las mañanas. ,La vivienda está amueblada y reformada, lista para entrar a vivir. En cuanto a las calidades, esta casa rural cuenta con carpintería de aluminio, chimeneas en el salón y en el garaje y suelo de cerámica, resistente y fácil de limpiar. Para que te sientas más seguro en tu hogar, la puerta principal está reforzada. ,La ubicación es espléndida, en un enclave rodeado de naturaleza y tranquilidad, muy cerca de los núcleos de población en los que podrás acceder a todos los servicios necesarios para el día a día. Tiene un cómodo acceso a la N-435 que te permitirá llegar a Huelva en unos tres cuartos de hora.,Ven a visitarla, no lo dudes y llama al 693900894, de particular a particular, sin comisiones de agenda.,h1o0u0s9e3l3l.",Anuncio actualizado el 9 de abril,0,0,1,1,0,segunda mano/buen estado,,,,plaza de garaje incluida en el precio,1,,,83846390, Finca rústica,,,Zalamea la Real,," , Zalamea la Real , El Andévalo, Huelva ",,,"El Andévalo, Huelva",5010,125,2019-04-13,,110000,0,2,1,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,1 planta,,0,,,39648980, Casa o chalet independiente,,,Tharsis,"Calle huerto lanchares, 33"," Calle huerto lanchares, 33 , Tharsis , El Andévalo, Huelva ",,,"El Andévalo, Huelva",70,,2019-04-13,,18000,0,2,1,0,1,
,más de 5 meses sin actualizar,1,0,1,0,1,segunda mano/para reformar,,no indicado,,,0,,,81378857, Casa de pueblo,,,Nerva,"Calle Cicerón, 1"," Calle Cicerón, 1 , Nerva , El Andévalo, Huelva ",,,"El Andévalo, Huelva",60,,2019-04-13,,25000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,82328410, Chalet adosado,,,Minas de Riotinto,"Calle Tartesos, 30"," Calle Tartesos, 30 , Minas de Riotinto , El Andévalo, Huelva ",,,"El Andévalo, Huelva",71,,2019-04-13,,30000,0,2,0,0,1,
"PISO A ESTRENAR,Miguel Hernandez. situado en zona peatonal, casi en el centro del pueblo a 500m zona tranquila. Playa a unos 40 kilometros. 1ª Planta. Terraza. CE: G.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,,planta 1ª exterior,,0,,,37962845,Piso,,0,El Almendro,"Calle Poeta Miguel Hernandez, 1"," Calle Poeta Miguel Hernandez, 1 , El Almendro , El Andévalo, Huelva ",,,"El Andévalo, Huelva",140,,2019-04-13,,95000,0,4,0,0,1,
"Casa de dos plantas. Esta situada en un lugar cercano de los servicios y lugares de entretenimiento cafetería etc. Playa a unos 40 kilometros. Planta superior en bruto.,El precio es negociable.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,,2 plantas,,0,,,37977635, Casa de pueblo,,,Puebla de Guzman,"Calle Fuentes, 2"," Calle Fuentes, 2 , Puebla de Guzman , El Andévalo, Huelva ",,,"El Andévalo, Huelva",180,,2019-04-13,,85000,0,4,0,0,0,
"Aldea de una tranquilidad total, cerca las necesidades de compras ne4cesaria, tiene Hospital Comarcal a 800 metros, Piscinas cercanas, tres, Pantano de recreo, y cercano parque de animales.",más de 5 meses sin actualizar,0,0,2,1,1,segunda mano/buen estado,2015,no indicado,2 plantas,,0,,calefacción individual,39983372, Casa de pueblo,,,Zalamea la Real,"Calle el Zumajo, 4"," Calle el Zumajo, 4 , Zalamea la Real , El Andévalo, Huelva ",,,"El Andévalo, Huelva",192,180,2019-04-13,"norte, sur",96000,0,4,0,0,1,
"Piso nueva construcción en calle mesones, tiene más de 140 metros cuadrados divididos en 3 habitaciones, 2 baños, salón, cocina, terraza y buhardilla. Todo con primeras calidades, a estrenar. Disponemos de dos pisos exactamente iguales, contacten con el número proporcionado para visita. Precio negociable. Se podría estudiar posibles cambios con viviendas en Huelva capital, El portil o El Rompido.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,entreplanta exterior,,0,,,81163294,Piso,,0,Villanueva de los Castillejos,"Calle mesones, 102"," Calle mesones, 102 , Villanueva de los Castillejos , El Andévalo, Huelva ",,,"El Andévalo, Huelva",150,,2019-04-13,,100000,0,3,1,0,1,
"Comedor amplio, cocina, alicatado. 2 Plantas.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,31459797, Casa de pueblo,,,Puebla de Guzman,"Calle cebadilla, 15"," Calle cebadilla, 15 , Puebla de Guzman , El Andévalo, Huelva ",,,"El Andévalo, Huelva",90,,2019-04-13,,130000,0,3,0,0,0,
"Piso situado en buena zona de Valverde, cerca de Colegios, Institutos, Centro de Salud, Supermercados. Muy amplio y luminoso, en calle peatonal ideal para niños, se encuentra en muy buen estado, fecha de construcción 2002. Se vende por cambio de lugar de residencia por trabajo, también se permuta por piso en Huelva. Playa a unos 50 kilometros. 1ª Planta. Amueblado.",más de 5 meses sin actualizar,1,0,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,35290713,Piso,,0,Valverde del Camino,"Calle Santa Ana la Real, 5"," Calle Santa Ana la Real, 5 , Valverde del Camino , El Andévalo, Huelva ",,,"El Andévalo, Huelva",110,,2019-04-13,,125000,0,3,0,0,1,
