ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Una propiedad excepcional en una ubicación excepcional.,La vista sin obstáculos recorre todo el valle de Aridane, el mar, el puerto y el pueblo de Tazacorte. ,Esta propiedad se encuentra en una posición imponente en La Punta de Tijarafe, a 300 metros sobre el nivel del mar. ,En un terreno de 5.266 m2 con árboles y plantas subtropicales se encuentra la casa principal de dos plantas con piscina y una soleada terraza, una pequeña casa para invitados y un garaje. ,El concepto abierto así como la vista al mar desde todos los rincones de la casa son las características principales de esta propiedad. ,El paisaje sonoro se extiende desde las aves que cantan desde el jardín subtropical hasta las olas de la playa de Tazacorte, que se puede escuchar dependiendo del día. ,La casa para invitados también está completamente amueblada y sirve como domicilio para buenos amigos, pero también para alquilarla. Hay un cuarto de lavabo y el doble garaje está pegado a la casa principal, de modo que existe la posibilidad de ampliar el espacio habitable. Privacidad garantizada.,La Palma, Reserva Mundial de la Biosfera:,En pleno Océano Atlántico se encuentra la isla de La Palma, una Reserva de la Biosfera de 706 km2 que ofrece infinidad de posibilidades para un ritmo de vida relajado y benigno. ,El mercado inmobiliario en La Palma ofrece para esto una gran selección de inmuebles en plena naturaleza predominantemente intacta y a precios razonables.,En la isla de La Palma, la más noroccidental de las Islas Canarias, vivimos algo más de ochenta mil personas. De sus habitantes, los “palmeros”, dicen que “nunca tenemos prisa” y que somos “gente amable”. De esto nos gusta pensar que es así, e intentar ser consecuentes con ello. ,En los tiempos que vivimos actualmente, en lo que todo debe ser rápido y sin descanso, nos gusta tomarnos la vida sin agobios, sin prisa pero sin pausa, y tener la capacidad de decidir, al menos un poco, sobre nuestro tiempo sobre este lugar maravilloso.,Aquí, con nosotros podrás adquirir con plena confianza la casa de tus sueños, ya que serás asesorado por profesionales de la propiedad. ,Cuando hagas un recorrido por nuestra web, veras casas de campo en Garafia y Puntagorda que están al norte de La Palma. ,Terrenos y fincas en La Vila Mazo, Chalets y casas terreras en Las Breñas. ,En Santa Cruz de La Palma te podemos ofrecer tenemos y una gran oferta de pisos, casas típicas palmeras, e incluso inmuebles para reformar o parcelas para ser construidas, también disponemos de inmuebles emblemáticos dentro del casco histórico. ,En el Valle de Aridane disponemos de varios chalets y casas terreras esplendidas. ,Tazacorte o Fuencaliente, lugares conocidos por sus espectaculares puestas de sol, disponemos de apartamentos con vistas al mar y casas unifamiliares.,En Canarias Real Estate encontraras casas rurales aptas para la explotación turística, o fincas en la montaña para amantes de las estrellas y tranquilidad. Resumiendo, diremos que Katha Canarias Real Estate es el sitio más apropiado para comprar, vender o alquilar tu propiedad en La Palma.,Recuerda que la mejor inversión que puedas hacer en tu vida, debería estar relacionada con tu salud y la de los tuyos. La Palma es sinónimo de paz y tranquilidad. ,Nosotros te ayudamos hacer tus sueños realidad. Nuestras oficinas con sus asesores en Los Cancajos y Tazacorte se encuentran a tu disposición, independientemente de tus necesidades.,Te ofrecemos servicio tasaciones y valoraciones inmobiliarias, te asesoramos a la hora de vender o comprar tu casa en La Palma.",Anuncio actualizado el 3 de abril,0,1,2,0,0,segunda mano/buen estado,1981,,2 plantas,plaza de garaje incluida en el precio,1,,no dispone de calefacción,84610105, Casa o chalet independiente,,,Tijarafe,Urb. La Punta de Tijarafe," Camino el Time, Tijarafe s/n , Urb. La Punta de Tijarafe , Tijarafe , La Palma, Santa Cruz de Tenerife ","Camino el Time, Tijarafe s/n",,"La Palma, Santa Cruz de Tenerife",5266,173,2019-04-14,sur,900000,0,3,1,1,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,38935496,Piso,,1,Los Llanos de Aridane,"Avenida Carlos Francisco Lorenzo Navarro, 23"," Avenida Carlos Francisco Lorenzo Navarro, 23 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",60,,2019-04-14,,79000,0,1,1,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,82686512, Casa o chalet independiente,,,Breña Alta,"Camino la Pavona, 40"," Camino la Pavona, 40 , Breña Alta , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",259,,2019-04-14,,180000,0,3,0,0,0,
,más de 5 meses sin actualizar,1,0,2,1,0,segunda mano/buen estado,,no indicado,1 planta,,0,,,81855630, Casa terrera,,,Villa de Mazo,"Monte de Breña, 157"," Monte de Breña, 157 , Villa de Mazo , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",2000,120,2019-04-14,este,250000,0,3,0,0,1,
"Piso en buen estado, con buenas vistas, a pocos Km de la playa y del aeropuerto.",más de 5 meses sin actualizar,0,1,2,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,36330457,Piso,,1,Breña Baja,"Camino de Vista Alegre, 144"," Camino de Vista Alegre, 144 , Breña Baja , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",82,73,2019-04-14,,125000,1,3,1,0,0,
"Se vende pequeña casa antigua con huerto. Totalmente reformada por dentro (agua, luz, tejado, fontanería, pisos... ) a falta de reformar por fuera. La Palma (Mazo).",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,,,1,,,29988909, Casa o chalet independiente,,,Villa de Mazo,Poleal s/n," Poleal s/n , Villa de Mazo , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",170,,2019-04-14,,70000,0,2,0,0,0,
"¡Oportunidad! Se vende piso de 60 m2. Consta de 2 habitaciones, baño, salón, cocina y solana. Situado en San Antonio, Breña Baja, a 5 minutos de la capital, Puerto y Aeropuerto. Bonitas vistas y muy luminoso. Centro de Salud, Farmacia y Supermercado a 5 minutos a pie. Se vende con cocina amueblada. La direccion exacta es Camino El Rincon San Antonio Breña Baja. Contacto El_Rincon_11@outlook. es.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,inmueble exento,planta 2ª exterior,,0,,,33513302,Piso,,1,Breña Baja,"Cuesta de san josé, 112 A"," Cuesta de san josé, 112 A , Breña Baja , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",60,,2019-04-14,este,85000,0,2,0,0,0,
"Bonito piso de 60 m2 en una zona tranquila con buen clima y cerca de todo, (aeropuerto, puerto, capital, supermercado, farmacia, centro de salud, banco) todo a menos de 5 minutos. 2 habitaciones, 1 salon, 1 cocina, 1 baño y una solana. Estupendas vistas al mar y a la montaña. Precio negociable.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,,37959684,Piso,,1,Breña Baja,"Camino de El Rincón, 11"," Camino de El Rincón, 11 , Breña Baja , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",60,59,2019-04-14,este,85000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,322435,Piso,,1,Los Llanos de Aridane,"Calle Pedro Poggio, 11"," Calle Pedro Poggio, 11 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",50,,2019-04-14,,96000,0,2,1,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,81399131,Piso,,0,Los Llanos de Aridane,"Calle Velázquez, 43"," Calle Velázquez, 43 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,,"La Palma, Santa Cruz de Tenerife",111,,2019-04-14,,150000,0,4,0,0,0,
