ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"SE VENDE PISO EN PLANTA BAJA EN EL CENTRO DE RIAZA.,Piso de 75m2 distribuidos en 3 habitaciones, 1wc, cocina y salón.,Piso en planta baja, muy cómodo, se vende con la cocina completamente equipada, suelos de tarima en toda la casa excepto en baño y cocina que es de gres, puertas de paso de madera barnizada y puerta de entrada acorazada.,Situado en la calle Médico Valentín Gil, en la zona más turística de Riaza en pleno centro, junto a la Plaza Porticada y el Ayuntamiento, a un paso de restaurantes, zonas de ocio, supermercados, hoteles, entidades bancarias, etc…, …Tienes que venir a verlo…,Posible financiación hasta 100% con alfa credit, consúltanos.",Anuncio actualizado el 12 de abril,0,0,1,0,0,segunda mano/buen estado,,en trámite,bajo exterior,,0,,,39706574,Piso,,0,Riaza,"Calle Medico Valentin Gil, 8"," Calle Medico Valentin Gil, 8 , Riaza , Área de Riaza, Segovia ",,,"Área de Riaza, Segovia",75,,2019-04-13,,60000,0,3,0,0,0,
"Piso para reformar en el centro de Riaza, al lado del parque el Rasero. Tres dormitorios, un baño. Tiene desván y jardín comunitario.,50.000 euros negociables.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,planta 2ª exterior,,1,,,81339547,Piso,,0,Riaza,"Calle Cava, 36"," Calle Cava, 36 , Riaza , Área de Riaza, Segovia ",,,"Área de Riaza, Segovia",90,80,2019-04-13,"norte, sur, oeste",50000,0,3,0,0,0,
"se vende casa baja cerca de boceguillas (10 minutos) ventanas de aluminio, puerta de hierro, 3 habitaciones grandes (1 con armario empotrado), cocina amueblada en perfecto estado, salon amplio con 2 ventanales, muros de piedra gruesos, contribución e impuestos bajos, mas informacion mail o telefono, seriedad gracias.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,en trámite,,plaza de garaje incluida en el precio,0,,,81912382, Casa de pueblo,,,Campo de San Pedro,PLAZA s/n," PLAZA s/n , Campo de San Pedro , Área de Riaza, Segovia ",,,"Área de Riaza, Segovia",50,78,2019-04-13,sur,65000,0,3,1,0,0,
"Chalet en parcela de 2500 metros, vallada con camino de entrada a la casa de hormigón impreso, bastante arbolada con roble y encina. Chapada en piedra estilo rustico consta de dos plantas. En la planta baja hay dos habitaciones, con armarios empotrados, carpintería de aluminio, cuarto de baño completo, cocina montada con electrodomésticos, salón con chimenea, desde el que se accede a un porche de madera. En la planta alta hay un espacio abuhardillado diáfano para otro dormitorio o estudio, incluye cuarto de baño completo. Calefaccion de gasoil.,Se encuentra en una urbanización, en la provincia de Segovia, a 120 km de Madrid, a 1035 m de altura, desde la que se ve la estación de esquí La Pinilla, a 8 km del pueblo de Riaza, y a 4 km del pueblo Fresno de Cantespino.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,en trámite,2 plantas,,1,,,82077546, Casa o chalet independiente,,,Fresno de Cantespino,Urb. Pradopinilla," Camino del Cruce s/n , Urb. Pradopinilla , Fresno de Cantespino , Área de Riaza, Segovia ",Camino del Cruce s/n,,"Área de Riaza, Segovia",2500,,2019-04-13,este,160000,0,3,0,0,1,
"Se vende piso de 70 m2 situado en la planta baja de un edificio de 2 alturas con 6 viviendas, con trastero y,jardín comunitario de 450 m2.,Fachada renovada recientemente.,Imprescindible reformar para vivir.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,bajo interior,plaza de garaje incluida en el precio,1,,,28623289,Piso,,0,Riaza,"Calle Santiago Apóstol, 14"," Calle Santiago Apóstol, 14 , Riaza , Área de Riaza, Segovia ",,,"Área de Riaza, Segovia",71,70,2019-04-13,norte,59000,0,4,1,0,0,
"Albergue Rural en entorno Espectacular con rocódromo y dos casetas de 30 metros cuadrados, cocina y para entrar. habría que hacerle cuatro arreglos. el precio es negociable. Piscina de 12 x6 metros. Para 70 plazas y diferentes permisos para poder hacer más infraestructuras. SÓLO EMAIL. Se encuentra en Fresno de Cantespino, Segovia, a 15kms de la pinilla.",más de 5 meses sin actualizar,0,1,12,0,1,segunda mano/buen estado,2006,no indicado,2 plantas,,1,,calefacción individual: gas propano/butano,81380097, Casa rural,,,Fresno de Cantespino,"Camino Viejo, 3"," Camino Viejo, 3 , Fresno de Cantespino , Área de Riaza, Segovia ",,,"Área de Riaza, Segovia",26000,500,2019-04-13,norte,650000,1,7,0,1,1,
"Piso sin estrenar garaje incluido en precio,, distribución:,6 vecinos en el edificio.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,bajo exterior,plaza de garaje incluida en el precio,1,,,1630474,Piso,,1,Riaza,Urb. urbanizacion los robles," Calle Eugenio Hernanz Gomez, 7 , Urb. urbanizacion los robles , Riaza , Área de Riaza, Segovia ","Calle Eugenio Hernanz Gomez, 7",,"Área de Riaza, Segovia",65,59,2019-04-13,,70000,0,1,0,1,0,
"Casa de pueblo situada en Aldeanueva de la Serrezuela, consta de una superficie de 77 m2 en una sola planta, distribuidos en salón-comedor, cocina, tres dormitorios, un baño, buhardilla.,Armarios empotrados en las habitaciones. Totalmente amueblado.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,inmueble exento,,,0,,calefacción individual,32309944, Casa o chalet independiente,,,Aldeanueva de la Serrezuela,"Calle del calvario, 4 Num"," Calle del calvario, 4 Num , Aldeanueva de la Serrezuela , Área de Riaza, Segovia ",,,"Área de Riaza, Segovia",77,,2019-04-13,sur,60000,0,3,0,0,0,
"Chalet con parcela de 2500m, totalmente amueblado, calefacion de gasoil, ventanas pvc con climalit, chimenea y techos de madera.,Tiene dos habitaciones, salon baño, cocina y terraza en planta baja, tiene un bajo cubierta con baño, y una parcela con grandes arboles, todo en primeras calidades pasate a verla que te gustara!",más de 5 meses sin actualizar,0,1,2,1,0,segunda mano/buen estado,,no indicado,2 plantas,,1,,calefacción central: gasoil,82600999, Casa o chalet independiente,,,Fresno de Cantespino,Urb. prado pinilla," Lugar Urbanización Prado Pinilla, 365 , Urb. prado pinilla , Fresno de Cantespino , Área de Riaza, Segovia ","Lugar Urbanización Prado Pinilla, 365",,"Área de Riaza, Segovia",131,,2019-04-13,sur,160000,0,3,1,0,1,
"Casa a reformar ubicada en un PUEBLO SEGOVIANO CON ENCANTO (RIAHUELAS), situado a 15 km de Riaza y la Pinilla-Estación de Esqui a 30 Km de Sepulveda y a unos 130 Km de Madrid-se llega por la A1 o Autovía del Norte-. Consta de planta baja y desván, varias dependencias, con una superficie total construida de 139 m2. El solar sobre el que está construida la vivienda tiene una superficie de 181 m2, contando en la parte delantera con patio privado y vistas al río., la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,2 plantas,,1,,,1809006, Chalet adosado,,,Fresno de Cantespino,"Calle Santiago, 2"," Calle Santiago, 2 , Fresno de Cantespino , Área de Riaza, Segovia ",,,"Área de Riaza, Segovia",181,,2019-04-13,,39000,0,3,1,0,0,
