ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"VIVIENDA SITUADA EN HATO VERDE., , Vivir cerca de la ciudad pero con todas las comodidades es posible en el conjunto Residencial de Hato Verde. Ambientadas en plena naturaleza, reinterpretan la típica casa sevillana, y hacen que la vida cotidiana sea más agradable y sencilla., , Cada detalle es importante. Por eso la vivienda es perfecta para la vida en familia donde la comodidad y calidad de vida están garantizadas en un entorno de naturaleza y deporte., , Conjunto residencial en pleno campo de Golf de Hato Verde y con zonas comunitarias con piscina, zona infantil, jardines, etc., La vivienda se encuentra magníficamente ubicada en urbanización residencial perfectamente comunicada con Sevilla por autovía. , , Vivienda de alto nivel; con 237 metros de superficie, con 4 dormitorios (originalmente 5 dormitorios), el dormitorio principal de 18 metros tipo suit con baño y vestidor incorporados, 3 baños, jardines alrededor de la vivienda en parcela independiente, entrada con aparcamiento, porche y azotea-solárium con buhardilla., , Zonas comunes ajardinadas con piscinas de adulto y niños, zona infantil y de esparcimiento., , Consta de:, •Planta baja con porche, cocina, gran salón con chimenea, dormitorio y baño., •Planta Primera con 3 dormitorios (el principal tipo suit con vestidor y baño y terraza), •Planta Segunda con buhardilla de 30 metros y solarium, •Jardín delantero con aparcamiento y trasero con acceso a zonas comunes., •3 Cuartos de baño, •Parcela de 302 metros., •Cocina Office equipada con electrodomésticos, •Armarios empotrados, •Zonas comunes con piscinas y zonas infantiles, •Garaje en propia parcela, •Orientación este-oeste, , Calidades:, •Solería de Gres, •Carpintería exterior tipo climalit lacada color, •Are acondicionado frio/calor y 1 Split, •Puertas de paso lacadas blanco., , Servicios:, •Vigilancia de 24 horas., •Colegio, instituto., •Club social y club de golf, ,El precio indicado incluye los honorarios por servicios de intermediación inmobiliaria, no se incluyen los gastos de notaría, registro y gestoría ni los tributos que puedan corresponderle al comprador.",Anuncio actualizado el 4 de diciembre,1,0,3,1,0,,2007,no indicado,,plaza de garaje incluida en el precio,1,,,83082391, Chalet pareado,,,Guillena,," , Guillena , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",302,200,2019-04-13,"sur, este",212000,0,5,0,1,1,
,más de 5 meses sin actualizar,0,1,3,0,0,segunda mano/buen estado,,no indicado,,plaza de garaje incluida en el precio,0,,,39747404, Casa o chalet independiente,,,Almadén de la Plata,"Calle las Granadinas, 20"," Calle las Granadinas, 20 , Almadén de la Plata , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",500,,2019-04-13,,280000,0,5,1,1,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,81496837, Casa de pueblo,,,El Pedroso,"Calle Yesca, 7"," Calle Yesca, 7 , El Pedroso , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",200,,2019-04-13,,50000,0,2,0,0,0,
,más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,81791682, Casa de pueblo,,,Guadalcanal,"Calle Vicente Amigo, 42"," Calle Vicente Amigo, 42 , Guadalcanal , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",200,,2019-04-13,,90000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,1,3,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,81884725,Piso,,0,Castilblanco de los Arroyos,"Calle Valdes Leal, 8"," Calle Valdes Leal, 8 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",120,,2019-04-13,,125000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,81928510,Piso,,0,La Puebla de los Infantes,"Calle Angorrilla, 6"," Calle Angorrilla, 6 , La Puebla de los Infantes , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",150,,2019-04-13,,78000,0,3,1,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,82099385, Casa o chalet independiente,,,Almadén de la Plata,"Calle las Matas, 17"," Calle las Matas, 17 , Almadén de la Plata , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",100,,2019-04-13,,30000,0,2,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,,,0,,,82119031, Casa de pueblo,,,Aznalcollar,"Calle Torres, 11"," Calle Torres, 11 , Aznalcollar , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",134,,2019-04-13,,95000,0,3,1,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,82612772, Cortijo,,,Constantina,"Calle Bonete, 10"," Calle Bonete, 10 , Constantina , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",15000,,2019-04-13,,425000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,82836585, Casa o chalet independiente,,,Almadén de la Plata,"Calle Castilla, 71"," Calle Castilla, 71 , Almadén de la Plata , Sierra norte, Sevilla ",,,"Sierra norte, Sevilla",75,,2019-04-13,,110000,0,4,0,0,0,
