ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
Inmueble de 82 m² con 3 habitaciones y 1 baño ubicado en ALMAZAN (Soria).,Anuncio actualizado el 10 de abril,0,0,1,0,0,,,no indicado,,,0,,,85016959,Piso,,,Almazan,," , Almazan , Almazán, Soria ",,,"Almazán, Soria",82,,2019-04-11,,36700,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,sin baños,0,0,segunda mano/para reformar,,no indicado,,,0,,,341277, Casa o chalet independiente,,,Monteagudo de las Vicarias,"Calle la Madera, 4"," Calle la Madera, 4 , Monteagudo de las Vicarias , Almazán, Soria ",,,"Almazán, Soria",210,,2019-04-11,,12000,0,4,0,0,0,
Se vende piso de cuatro habitaciones para reformar.,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,planta 2ª exterior,,0,,,29441395,Piso,,0,Soria,Distrito Zona Polideportivos Asperon - Mariano Vicen," Paseo San Francisco, 6 , Distrito Zona Polideportivos Asperon - Mariano Vicen , Soria , Área de Soria, Soria ","Paseo San Francisco, 6",,"Área de Soria, Soria",99,,2019-04-11,,60000,0,4,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,,,,0,,,35627682, Casa o chalet independiente,,,Arcos de Jalon,"Calle agueda, 2"," Calle agueda, 2 , Arcos de Jalon , Almazán, Soria ",,,"Almazán, Soria",110,,2019-04-11,,49500,0,4,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,82854038, Casa o chalet independiente,,,San Pedro Manrique,"Plaza San Martín, 12"," Plaza San Martín, 12 , San Pedro Manrique , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",240,,2019-04-11,,60000,0,6,0,0,0,
"Vendo piso seminuevo en almazan, construido hace unos 7 años, en perfecto estado y completamente amueblado, para entrar a vivir. Enviamos fotos por privado a personas realmente interesadas.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,,planta 4ª exterior,,0,,,37170443,Piso,,1,Almazan,"Calle Comuneros Castilla, 26"," Calle Comuneros Castilla, 26 , Almazan , Almazán, Soria ",,,"Almazán, Soria",90,,2019-04-11,norte,145000,0,3,1,0,0,
Vivienda en Santa María de Huerta. También posibilidad de alquilar terreno para trabajar huerta o frutales.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,,,0,,,81317118, Finca rústica,,,Santa Maria de Huerta,"Calle San Bernardo, 9"," Calle San Bernardo, 9 , Santa Maria de Huerta , Almazán, Soria ",,,"Almazán, Soria",250,67,2019-04-11,sur,15000,0,2,0,0,0,
Amueblado. Posibilidad de plaza de garaje.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,82155153,Piso,,1,Golmayo,Urb. Las Camaretas," Calle Fuenteberros, 2 , Urb. Las Camaretas , Golmayo , Área de Soria, Soria ","Calle Fuenteberros, 2",,"Área de Soria, Soria",74,69,2019-04-11,,98000,0,2,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,1920,,3 plantas,,0,,,39553780, Casa o chalet independiente,,,Olvega,"Calle Capiscol, 1"," Calle Capiscol, 1 , Olvega , Área de Soria, Soria ",,,"Área de Soria, Soria",350,250,2019-04-11,,49000,0,5,1,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,en trámite,3 plantas,,0,,,81536123, Casa de pueblo,,,Burgo de Osma-Ciudad de Osma,"Calle Ricardo Ayuso, 90"," Calle Ricardo Ayuso, 90 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",195,,2019-04-11,,20000,0,4,0,0,0,
