ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Casa de 175 m² de superficie con una parcela de 80 m², en la que podrás disfrutar de tus ratos de ocio, en Ademuz, provincia de València. Ideal como segunda residencia o para inversores.,La casa cuenta con tres plantas de altura y se distribuye en salón, cuatro dormitorios, un cuarto y cocina amueblada y totalmente independiente del resto de estancias. Además, la casa cuenta con terraza, para que disfrutes del buen tiempo y un patio para que puedas desayunar al aire libre. El inmueble es todo exterior. También cuenta con trastero interior para que guardes todo aquello que necesites. ,La vivienda está sin amueblar y en buen estado, lista para entrar a vivir. En cuanto a las calidades, la casa cuenta con carpintería de madera y suelos de parquet, que da mucha calidez a la vivienda y de gres de fácil mantenimiento y gran resistencia. ,Ademuz se encuentra en la Comunidad Valenciana entre las comunidades autónomas de Aragón y de Castilla-La Mancha, a 45 minutos de Teruel y a una hora y media de Cuenca. Esta casa está situada en una zona bien comunicada, cerca de todos los servicios necesarios. Las conexiones por carretera son rápidas y cómodas contando con la N-330 A y N-330.,Llama al 693900894 y visita esta vivienda.,h1o0u2s5e2l0l.",Anuncio actualizado el 4 de abril,0,0,1,0,0,segunda mano/buen estado,,en trámite,,,0,,,84926697, Casa o chalet,,,Ademuz,," , Ademuz , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",80,162,2019-04-14,,67500,0,4,1,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,,,0,,,374094, Casa o chalet independiente,,,Casas Bajas,"Calle del Horno, 5"," Calle del Horno, 5 , Casas Bajas , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",176,,2019-04-14,,60000,0,5,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,,,0,,,28228285, Casa o chalet independiente,,,Ademuz,"Calle Calderas, 22"," Calle Calderas, 22 , Ademuz , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",55,,2019-04-14,,18000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,entreplanta exterior,,0,,,82134694,Piso,,0,Ademuz,"Avenida Valencia, 73"," Avenida Valencia, 73 , Ademuz , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",105,,2019-04-14,,60000,0,4,0,0,0,
Casa de pueblo para reformar. Tres plantas de 50 m. Situada en mas de Jacinto.,más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/para reformar,,en trámite,3 plantas,,0,,,29512920, Casa de pueblo,,,Castielfabib,Travesía Eras Alta Santos s/n," Travesía Eras Alta Santos s/n , Castielfabib , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",50,,2019-04-14,,10000,0,3,0,0,0,
"Inmueble de 4 plantas y 160 m2 en Vallanca,situado en un lugar del pueblo privilegiado.",más de 5 meses sin actualizar,0,0,2,1,1,segunda mano/buen estado,,no indicado,4 plantas,plaza de garaje incluida en el precio,0,,,31356811, Casa de pueblo,,,Vallanca,"Calle calvo sotelo, 6"," Calle calvo sotelo, 6 , Vallanca , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",160,,2019-04-14,,30000,0,4,1,0,1,
"OPORTUNIDAD! Casa doble, ideal para compartir dos familias independientes. Dispone de dos cocinas, dos chimeneas, tres comedores, dos baños.. . Balcón con espectaculares vistas. Dispone de un terreno preparado para dejar el coche o hacer un gran patio de unos 35m2. Este terreno esta situado a nivel de puerta de entrada. Amueblada con neveras. Zona muy tranquila.",más de 5 meses sin actualizar,0,0,2,1,1,segunda mano/buen estado,,no indicado,4 plantas,,0,,,31122802, Casa de pueblo,,,Ademuz,"Calle portal, 225"," Calle portal, 225 , Ademuz , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",78,,2019-04-14,,49000,0,5,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,3 plantas,,0,,,36189350, Casa de pueblo,,,Vallanca,"Calle general mola, 10"," Calle general mola, 10 , Vallanca , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",312,,2019-04-14,"sur, este",50000,0,1,0,0,0,
,Anuncio actualizado el 18 de diciembre,0,0,1,0,0,segunda mano/para reformar,,no indicado,4 plantas,,0,,,83622908, Chalet adosado,,,Ademuz,"Calle Portal, 81"," Calle Portal, 81 , Ademuz , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",180,,2019-04-14,,30000,0,3,0,0,0,
,Anuncio actualizado el 8 de abril,0,0,1,0,0,segunda mano/buen estado,,no indicado,3 plantas,,0,,,31165754, Casa de pueblo,,,Castielfabib,"Calle virgen de gracia, 29"," Calle virgen de gracia, 29 , Castielfabib , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",132,,2019-04-14,,60000,0,5,0,0,0,
,Anuncio actualizado el 8 de abril,0,0,1,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,82772225, Casa de pueblo,,,Ademuz,"Calle Boticario, 137"," Calle Boticario, 137 , Ademuz , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",70,,2019-04-14,,12000,0,3,0,0,0,
"GRAN OPORTUNIDAD,Casa señorial totalmente para reformar, ideal para casa rural, distribuida en planta baja y 2 alturas, almazara, cuadra, silo para grano. situada en las proximidades de la iglesia, gran oportunidad, precio a negociar.",Anuncio actualizado el 8 de abril,0,0,2,0,0,segunda mano/para reformar,,no indicado,2 plantas,,0,,,35984677, Casa de pueblo,,,Ademuz,"Calle Mesón, 20"," Calle Mesón, 20 , Ademuz , El Rincón de Ademuz, València ",,,"El Rincón de Ademuz, València",960,,2019-04-14,,43000,0,8,0,0,0,
