ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
Inmueble de 110 m² con 3 habitaciones y 1 baño ubicado en TORO (Zamora).,Anuncio actualizado el 10 de abril,0,0,1,0,0,,,no indicado,,,0,,,85017409,Piso,,,Toro,," , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",109,86,2019-04-11,,63000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/buen estado,,no indicado,,plaza de garaje incluida en el precio,0,,,81263788, Chalet adosado,,,Toro,"Calle de los Pinarillos, 11"," Calle de los Pinarillos, 11 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",360,,2019-04-11,,220000,0,4,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,1 planta,,1,,,81821822, Casa de pueblo,,,Toro,"Calle de la Reina, 10"," Calle de la Reina, 10 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",40,100,2019-04-11,,60000,0,5,0,0,0,
"Hola vendo un piso con tres habitaciones, un baño, salon, terrazas cocina. Dispone de trastero lo vendo todo junto ya que yo el trastero lo compré por separado. Gracias.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,planta 1ª exterior,,0,,,40513644,Piso,,0,Toro,"Calle Caballerizas del Conde, 7"," Calle Caballerizas del Conde, 7 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",80,,2019-04-11,,58000,0,3,1,0,0,
"Se vende piso totalmente exterior y amueblado, en perfecto estado para entrar a vivir y excelentes vistas. Muy cerca de la bodega Pagos del Rey.",más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,37384103,Piso,,0,Morales de Toro,"Avenida Comuneros, 59"," Avenida Comuneros, 59 , Morales de Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",106,90,2019-04-11,"norte, sur, oeste",35000,0,4,1,0,1,
Amueblado.,más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,82515883,Piso,,1,Toro,"Calle de Santa Catalina de Roncesvalles, 36"," Calle de Santa Catalina de Roncesvalles, 36 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",95,,2019-04-11,,90000,0,3,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,1 planta,plaza de garaje incluida en el precio,0,,,27417248, Casa o chalet independiente,,,Vezdemarban,"Calle Santa María, 3"," Calle Santa María, 3 , Vezdemarban , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",380,,2019-04-11,,6000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,bajo exterior,plaza de garaje incluida en el precio,0,,,1816196,Dúplex,,0,Morales de Toro,"Plaza la Paz, 18"," Plaza la Paz, 18 , Morales de Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",150,120,2019-04-11,,55000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,,0,,,31632389,Piso,,1,Toro,"Carretera medina de rioseco, 2"," Carretera medina de rioseco, 2 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",92,,2019-04-11,,68000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/para reformar,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,34030136, Casa de pueblo,,,Toro,"Calle frailes, 5"," Calle frailes, 5 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",110,,2019-04-11,,40000,0,5,0,0,0,
Precioso ático.,más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,plaza de garaje incluida en el precio,0,,,2136418,Ático,,1,Toro,"Ronda Capuchinos, 19"," Ronda Capuchinos, 19 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",75,65,2019-04-11,,89000,0,2,0,0,0,
